"Time (s) Run #1","Magnetic Field Strength (Axial) (G) Run #1","Magnetic Field Strength (Perpendicular) (T) Run #1","Angle (rad) Run #1","Angular Velocity (rad/s) Run #1","Angular Acceleration (rad/s²) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,1.98360E+1,1.96567E-4,0.000,,,0.00000E0,,
0.100,1.98176E+1,1.94543E-4,0.000,0.000,,0.00000E0,0.000,
0.200,1.98829E+1,2.01628E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
0.300,1.98745E+1,2.14970E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
0.400,1.98084E+1,2.06321E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
0.500,1.98536E+1,2.01260E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
0.600,1.98259E+1,2.10185E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
0.700,1.98603E+1,2.05216E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
0.800,1.98519E+1,2.01168E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
0.900,1.98176E+1,1.96935E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.000,1.98234E+1,2.00340E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.100,1.98033E+1,1.97211E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.200,1.98996E+1,2.01444E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.300,1.98502E+1,2.03744E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.400,1.98820E+1,1.94083E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.500,1.98201E+1,1.95463E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.600,1.97874E+1,2.00616E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.700,1.97941E+1,2.04848E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.800,1.97833E+1,1.97579E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.900,1.98025E+1,1.99143E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
2.000,1.99331E+1,1.97855E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
2.100,1.97950E+1,1.98407E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
2.200,1.98510E+1,1.93899E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
2.300,1.98812E+1,2.05676E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
2.400,1.97883E+1,2.07517E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
2.500,1.99155E+1,2.16626E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
2.600,1.99255E+1,2.12117E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
2.700,2.00528E+1,2.09173E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
2.800,1.99230E+1,2.06597E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
2.900,1.98653E+1,2.05676E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
3.000,1.99381E+1,2.08161E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
3.100,1.99624E+1,2.07057E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
3.200,1.98854E+1,2.15614E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
3.300,1.98812E+1,1.97947E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
3.400,1.99364E+1,2.05400E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
3.500,1.98695E+1,2.10093E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
3.600,1.98812E+1,2.06873E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
3.700,1.98151E+1,2.06505E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
