"Time (s) Run #1","Magnetic Field Strength (Axial) (G) Run #1","Magnetic Field Strength (Perpendicular) (T) Run #1","Angle (rad) Run #1","Angular Velocity (rad/s) Run #1","Angular Acceleration (rad/s²) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,5.21723E0,5.04475E-5,-3.563,,,-4.47363E-2,,
0.100,5.19631E0,4.86992E-5,-3.563,0.000,,-4.47363E-2,0.000,
0.200,5.22142E0,5.07235E-5,-3.563,0.000,0.000,-4.47363E-2,0.000,0.000
0.300,5.18961E0,4.17981E-5,-3.563,0.000,0.000,-4.47363E-2,0.000,0.000
0.400,5.20803E0,5.23798E-5,-3.563,0.000,0.000,-4.47363E-2,0.000,0.000
0.500,5.23732E0,6.19493E-5,-3.563,0.000,0.000,-4.47363E-2,0.000,0.000
0.600,5.17455E0,4.36384E-5,-3.563,0.000,0.000,-4.47363E-2,0.000,0.000
0.700,5.14191E0,4.04179E-5,-3.563,0.000,0.000,-4.47363E-2,0.000,0.000
0.800,5.19882E0,5.68885E-5,-3.563,0.000,0.000,-4.47363E-2,0.000,0.000
0.900,5.28168E0,5.53242E-5,-3.563,0.000,0.000,-4.47363E-2,0.000,0.000
1.000,5.29424E0,4.08779E-5,-3.563,0.000,0.000,-4.47363E-2,0.000,0.000
1.100,5.31265E0,4.95273E-5,-3.563,0.000,0.000,-4.47363E-2,0.000,0.000
1.200,5.31098E0,5.32079E-5,-3.563,0.000,0.000,-4.47363E-2,0.000,0.000
1.300,5.27415E0,4.37304E-5,-3.563,0.000,0.004,-4.47363E-2,0.000,5.479E-5
1.400,5.26578E0,5.21037E-5,-3.563,0.000,0.013,-4.47363E-2,0.000,1.644E-4
1.500,5.25992E0,3.16764E-5,-3.563,0.003,0.017,-4.47363E-2,3.288E-5,2.192E-4
1.600,5.34446E0,3.97737E-5,-3.563,0.005,0.009,-4.47363E-2,6.575E-5,1.096E-4
1.700,5.30428E0,3.79335E-5,-3.561,0.005,-0.009,-4.47166E-2,6.575E-5,-1.096E-4
1.800,5.22644E0,3.72893E-5,-3.561,0.003,-0.013,-4.47166E-2,3.287E-5,-1.644E-4
1.900,5.32688E0,4.33623E-5,-3.561,0.000,3.697E-15,-4.47166E-2,0.000,1.156E-16
2.000,5.39049E0,4.77790E-5,-3.561,0.003,0.048,-4.47166E-2,3.288E-5,6.027E-4
2.100,5.33692E0,5.09075E-5,-3.561,0.005,0.458,-4.47166E-2,6.575E-5,0.006
2.200,5.24485E0,5.19197E-5,-3.559,0.026,1.252,-4.46968E-2,3.287E-4,0.016
2.300,5.34278E0,4.25342E-5,-3.559,0.251,1.837,-4.46968E-2,0.003,0.023
2.400,5.35868E0,4.15220E-5,-3.547,0.508,1.536,-4.45390E-2,0.006,0.019
2.500,5.46498E0,4.75950E-5,-3.423,0.626,0.436,-4.29808E-2,0.008,0.005
2.600,5.42229E0,4.55707E-5,-3.391,0.573,-0.467,-4.25863E-2,0.007,-0.006
2.700,5.50767E0,4.76870E-5,-3.340,0.448,-0.685,-4.19353E-2,0.006,-0.009
2.800,5.46582E0,5.12756E-5,-3.286,0.406,-0.353,-4.12647E-2,0.005,-0.004
2.900,5.51855E0,5.26558E-5,-3.259,0.382,0.144,-4.09294E-2,0.005,0.002
3.000,5.61899E0,5.21037E-5,-3.228,0.427,0.493,-4.05349E-2,0.005,0.006
3.100,5.73533E0,4.22581E-5,-3.168,0.513,0.737,-3.97853E-2,0.006,0.009
3.200,5.68511E0,4.52946E-5,-3.121,0.571,1.052,-3.91936E-2,0.007,0.013
3.300,5.82572E0,4.57547E-5,-3.058,0.681,1.353,-3.84046E-2,0.009,0.017
3.400,5.69934E0,4.67669E-5,-2.996,0.890,1.065,-3.76156E-2,0.011,0.013
3.500,5.94792E0,5.30239E-5,-2.886,1.005,-0.083,-3.62348E-2,0.013,-0.001
3.600,6.13206E0,6.36056E-5,-2.760,0.885,-1.152,-3.46568E-2,0.011,-0.014
3.700,6.12955E0,5.89128E-5,-2.691,0.636,-0.768,-3.37889E-2,0.008,-0.010
3.800,6.18813E0,5.09996E-5,-2.659,0.568,0.899,-3.33944E-2,0.007,0.011
3.900,6.27518E0,5.07235E-5,-2.604,0.861,2.125,-3.27040E-2,0.011,0.027
4.000,6.37311E0,5.24718E-5,-2.505,1.199,1.510,-3.14614E-2,0.015,0.019
4.100,6.71627E0,5.63364E-5,-2.328,1.280,-0.323,-2.92324E-2,0.016,-0.004
4.200,6.83345E0,6.09371E-5,-2.216,1.055,-1.510,-2.78320E-2,0.013,-0.019
4.300,6.96067E0,5.47722E-5,-2.125,0.812,-1.379,-2.66879E-2,0.010,-0.017
4.400,7.00336E0,5.99250E-5,-2.075,0.762,-0.829,-2.60567E-2,0.010,-0.010
4.500,7.16824E0,6.24094E-5,-1.982,0.746,-0.977,-2.48929E-2,0.009,-0.012
4.600,7.30634E0,5.94649E-5,-1.902,0.623,-1.667,-2.38870E-2,0.008,-0.021
4.700,7.27621E0,6.53539E-5,-1.850,0.364,-1.994,-2.32360E-2,0.005,-0.025
4.800,7.25194E0,7.03227E-5,-1.833,0.144,-1.597,-2.30191E-2,0.002,-0.020
4.900,7.39506E0,6.54459E-5,-1.833,0.029,-0.846,-2.30191E-2,3.616E-4,-0.011
5.000,7.33062E0,6.71021E-5,-1.833,0.000,-0.288,-2.30191E-2,0.000,-0.004
5.100,7.25027E0,6.86664E-5,-1.833,0.000,-0.048,-2.30191E-2,0.000,-6.027E-4
5.200,7.31053E0,6.48018E-5,-1.833,0.000,0.052,-2.30191E-2,0.000,6.575E-4
5.300,7.32308E0,5.75326E-5,-1.833,0.000,0.449,-2.30191E-2,0.000,0.006
5.400,7.31639E0,6.46177E-5,-1.833,0.031,1.209,-2.30191E-2,3.945E-4,0.015
5.500,7.23018E0,5.69805E-5,-1.833,0.238,1.802,-2.30191E-2,0.003,0.023
5.600,7.28709E0,5.54163E-5,-1.814,0.487,1.606,-2.27824E-2,0.006,0.020
5.700,7.38921E0,6.53539E-5,-1.709,0.626,0.716,-2.14608E-2,0.008,0.009
5.800,7.47876E0,7.39112E-5,-1.665,0.607,0.031,-2.09085E-2,0.008,3.835E-4
5.900,7.54907E0,7.15188E-5,-1.607,0.547,-0.035,-2.01787E-2,0.007,-4.383E-4
6.000,7.61938E0,6.43417E-5,-1.552,0.584,0.135,-1.94883E-2,0.007,0.002
6.100,7.67378E0,6.79303E-5,-1.494,0.628,-0.022,-1.87585E-2,0.008,-2.740E-4
6.200,7.65620E0,6.86664E-5,-1.428,0.607,-0.441,-1.79300E-2,0.008,-0.006
6.300,7.93576E0,6.68261E-5,-1.354,0.511,-0.550,-1.70029E-2,0.006,-0.007
6.400,7.86377E0,6.53539E-5,-1.327,0.437,-0.175,-1.66676E-2,0.005,-0.002
6.500,8.03285E0,7.80519E-5,-1.288,0.469,0.218,-1.61745E-2,0.006,0.003
6.600,8.07972E0,7.96161E-5,-1.232,0.545,0.113,-1.54644E-2,0.007,0.001
