"Time (s) Run #1","Magnetic Field Strength (Axial) (G) Run #1","Magnetic Field Strength (Perpendicular) (T) Run #1","Angle (rad) Run #1","Angular Velocity (rad/s) Run #1","Angular Acceleration (rad/s²) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,1.74405E+1,1.89758E-4,-4.923,,,-6.18181E-2,,
0.100,1.74238E+1,1.92426E-4,-4.923,0.000,,-6.18181E-2,0.000,
0.200,1.73711E+1,1.93346E-4,-4.923,0.000,0.000,-6.18181E-2,0.000,0.000
0.300,1.75000E+1,1.87089E-4,-4.923,0.000,0.000,-6.18181E-2,0.000,0.000
0.400,1.74313E+1,1.78808E-4,-4.923,0.000,0.000,-6.18181E-2,0.000,0.000
0.500,1.74866E+1,1.89850E-4,-4.923,0.000,0.004,-6.18181E-2,0.000,5.479E-5
0.600,1.74749E+1,1.86537E-4,-4.923,0.000,0.013,-6.18181E-2,0.000,1.644E-4
0.700,1.75360E+1,1.76692E-4,-4.923,0.003,0.017,-6.18181E-2,3.287E-5,2.192E-4
0.800,1.75117E+1,1.83961E-4,-4.923,0.005,0.013,-6.18181E-2,6.575E-5,1.644E-4
0.900,1.75401E+1,1.90586E-4,-4.921,0.005,0.432,-6.17984E-2,6.575E-5,0.005
1.000,1.74832E+1,1.80556E-4,-4.921,0.005,1.418,-6.17984E-2,6.575E-5,0.018
1.100,1.74238E+1,1.77888E-4,-4.921,0.262,2.212,-6.17984E-2,0.003,0.028
1.200,1.74489E+1,1.84789E-4,-4.920,0.600,1.920,-6.17787E-2,0.008,0.024
1.300,1.75786E+1,1.83409E-4,-4.766,0.738,0.689,-5.98456E-2,0.009,0.009
1.400,1.76012E+1,1.81477E-4,-4.717,0.681,-0.092,-5.92342E-2,0.009,-0.001
1.500,1.76590E+1,1.75956E-4,-4.681,0.594,0.035,-5.87805E-2,0.007,4.383E-4
1.600,1.77167E+1,1.78164E-4,-4.596,0.689,0.454,-5.77153E-2,0.009,0.006
1.700,1.77670E+1,1.74483E-4,-4.530,0.751,0.628,-5.68869E-2,0.009,0.008
1.800,1.78582E+1,1.85525E-4,-4.455,0.796,0.554,-5.59401E-2,0.010,0.007
1.900,1.78297E+1,1.90586E-4,-4.372,0.864,0.641,-5.48947E-2,0.011,0.008
2.000,1.78624E+1,1.84237E-4,-4.277,0.908,0.999,-5.37112E-2,0.011,0.013
2.100,1.79352E+1,1.87549E-4,-4.189,1.024,1.636,-5.26066E-2,0.013,0.021
2.200,1.78917E+1,1.91414E-4,-4.092,1.236,2.387,-5.13836E-2,0.016,0.030
2.300,1.79595E+1,1.85433E-4,-3.943,1.518,2.875,-4.95098E-2,0.019,0.036
2.400,1.79519E+1,1.84697E-4,-3.782,1.846,2.640,-4.74978E-2,0.023,0.033
2.500,1.80063E+1,1.80556E-4,-3.588,2.139,1.252,-4.50519E-2,0.027,0.016
2.600,1.79754E+1,1.80464E-4,-3.340,2.199,-0.860,-4.19354E-2,0.028,-0.011
2.700,1.78071E+1,1.79084E-4,-3.102,1.916,-2.731,-3.89569E-2,0.024,-0.034
2.800,1.76833E+1,1.68778E-4,-2.948,1.552,-3.796,-3.70238E-2,0.019,-0.048
2.900,1.76314E+1,1.72735E-4,-2.829,1.147,-4.219,-3.55247E-2,0.014,-0.053
3.000,1.75343E+1,1.60773E-4,-2.681,0.691,-4.088,-3.36706E-2,0.009,-0.051
3.100,1.75293E+1,1.65282E-4,-2.681,0.246,-3.063,-3.36706E-2,0.003,-0.038
3.200,1.75058E+1,1.76048E-4,-2.681,0.000,-1.562,-3.36706E-2,0.000,-0.020
3.300,1.75351E+1,1.61325E-4,-2.681,0.000,-0.410,-3.36706E-2,0.000,-0.005
3.400,1.75334E+1,1.68686E-4,-2.681,0.000,0.131,-3.36706E-2,0.000,0.002
3.500,1.74774E+1,1.74575E-4,-2.681,0.000,0.668,-3.36706E-2,0.000,0.008
3.600,1.74514E+1,1.62337E-4,-2.681,0.079,1.623,-3.36706E-2,9.863E-4,0.020
3.700,1.74464E+1,1.64822E-4,-2.681,0.322,2.487,-3.36706E-2,0.004,0.031
3.800,1.74732E+1,1.57277E-4,-2.634,0.652,2.662,-3.30788E-2,0.008,0.033
3.900,1.73711E+1,1.60589E-4,-2.535,0.919,2.164,-3.18361E-2,0.012,0.027
4.000,1.72614E+1,1.58749E-4,-2.436,1.079,1.610,-3.05935E-2,0.014,0.020
4.100,1.71275E+1,1.57185E-4,-2.328,1.194,1.283,-2.92325E-2,0.015,0.016
4.200,1.70070E+1,1.44947E-4,-2.194,1.343,0.868,-2.75558E-2,0.017,0.011
4.300,1.68865E+1,1.42646E-4,-2.061,1.424,0.065,-2.58792E-2,0.018,8.219E-4
4.400,1.65935E+1,1.43842E-4,-1.898,1.369,-0.890,-2.38278E-2,0.017,-0.011
4.500,1.64772E+1,1.40438E-4,-1.770,1.207,-1.318,-2.22301E-2,0.015,-0.017
4.600,1.62989E+1,1.34457E-4,-1.663,1.026,-1.004,-2.08888E-2,0.013,-0.013
4.700,1.61574E+1,1.32341E-4,-1.571,0.977,-0.511,-1.97250E-2,0.012,-0.006
4.800,1.59465E+1,1.32157E-4,-1.481,0.997,-0.454,-1.86007E-2,0.013,-0.006
4.900,1.58118E+1,1.38414E-4,-1.367,0.929,-0.846,-1.71608E-2,0.012,-0.011
5.000,1.56963E+1,1.26636E-4,-1.269,0.801,-1.257,-1.59378E-2,0.010,-0.016
5.100,1.56871E+1,1.26544E-4,-1.225,0.665,-1.545,-1.53855E-2,0.008,-0.019
5.200,1.54460E+1,1.27004E-4,-1.142,0.508,-1.820,-1.43401E-2,0.006,-0.023
5.300,1.53958E+1,1.23415E-4,-1.095,0.296,-1.824,-1.37483E-2,0.004,-0.023
5.400,1.54083E+1,1.22679E-4,-1.095,0.079,-1.340,-1.37483E-2,9.863E-4,-0.017
5.500,1.53163E+1,1.15134E-4,-1.095,0.000,-0.624,-1.37483E-2,0.000,-0.008
