"Time (s) Run #1","Magnetic Field Strength (Axial) (G) Run #1","Magnetic Field Strength (Perpendicular) (T) Run #1","Angle (rad) Run #1","Angular Velocity (rad/s) Run #1","Angular Acceleration (rad/s²) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,1.72698E+1,1.72091E-4,0.000,,,0.00000E0,,
0.100,1.73317E+1,1.55252E-4,0.000,0.000,,0.00000E0,0.000,
0.200,1.72338E+1,1.56909E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
0.300,1.74188E+1,1.55344E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
0.400,1.73351E+1,1.55068E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
0.500,1.74188E+1,1.59669E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
0.600,1.73167E+1,1.60865E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
0.700,1.72690E+1,1.52768E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
0.800,1.73493E+1,1.56172E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
0.900,1.72547E+1,1.55620E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.000,1.73995E+1,1.51572E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.100,1.72974E+1,1.62061E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.200,1.73075E+1,1.58013E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.300,1.73476E+1,1.60589E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.400,1.72907E+1,1.60865E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.500,1.73627E+1,1.50284E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.600,1.73217E+1,1.65282E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.700,1.73016E+1,1.66202E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.800,1.73058E+1,1.63350E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
1.900,1.73535E+1,1.63994E-4,0.000,0.000,0.000,0.00000E0,0.000,0.000
2.000,1.73468E+1,1.69607E-4,0.000,0.000,0.196,0.00000E0,0.000,0.002
2.100,1.72497E+1,1.64270E-4,0.000,0.000,1.108,0.00000E0,0.000,0.014
2.200,1.72740E+1,1.67582E-4,0.000,0.118,2.382,0.00000E0,0.001,0.030
2.300,1.73501E+1,1.65650E-4,0.000,0.547,2.631,0.00000E0,0.007,0.033
2.400,1.75644E+1,1.71907E-4,0.071,0.882,0.956,8.87625E-4,0.011,0.012
2.500,1.80992E+1,1.76876E-4,0.258,0.814,-1.501,3.23490E-3,0.010,-0.019
2.600,1.81712E+1,1.77704E-4,0.272,0.424,-2.487,3.41242E-3,0.005,-0.031
2.700,1.82332E+1,1.64270E-4,0.287,0.105,-1.217,3.60967E-3,0.001,-0.015
2.800,1.81545E+1,1.75680E-4,0.295,0.099,0.969,3.70830E-3,0.001,0.012
2.900,1.82064E+1,1.72183E-4,0.297,0.408,2.038,3.72803E-3,0.005,0.026
3.000,1.83194E+1,1.78808E-4,0.322,0.702,1.436,4.04362E-3,0.009,0.018
3.100,1.87973E+1,1.89206E-4,0.506,0.725,0.166,6.35145E-3,0.009,0.002
3.200,1.88324E+1,1.72919E-4,0.507,0.644,-0.454,6.37117E-3,0.008,-0.006
3.300,1.89295E+1,1.83317E-4,0.547,0.565,-0.545,6.86430E-3,0.007,-0.007
3.400,1.92367E+1,1.75588E-4,0.668,0.589,-0.750,8.38312E-3,0.007,-0.009
3.500,1.93748E+1,1.83133E-4,0.685,0.453,-0.982,8.60010E-3,0.006,-0.012
3.600,1.94083E+1,1.80924E-4,0.723,0.306,-0.912,9.07350E-3,0.004,-0.011
3.700,1.95907E+1,1.87365E-4,0.763,0.259,-0.223,9.58635E-3,0.003,-0.003
3.800,1.96393E+1,1.81753E-4,0.773,0.236,0.698,9.70470E-3,0.003,0.009
3.900,1.96393E+1,1.83869E-4,0.790,0.390,1.230,9.92167E-3,0.005,0.015
4.000,1.97983E+1,1.86169E-4,0.837,0.594,0.899,1.05134E-2,0.007,0.011
4.100,2.01214E+1,1.88102E-4,0.933,0.639,0.144,1.17166E-2,0.008,0.002
4.200,2.02110E+1,1.93899E-4,0.986,0.526,-0.153,1.23873E-2,0.007,-0.002
4.300,2.02821E+1,1.93991E-4,1.024,0.545,-0.161,1.28607E-2,0.007,-0.002
