"Time (s) Run #1","Magnetic Field Strength (Axial) (G) Run #1","Magnetic Field Strength (Perpendicular) (T) Run #1","Angle (rad) Run #1","Angular Velocity (rad/s) Run #1","Angular Acceleration (rad/s²) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,2.29487E+1,1.61877E-4,-4.734,,,-5.94511E-2,,
0.100,2.29889E+1,1.58013E-4,-4.734,0.000,,-5.94511E-2,0.000,
0.200,2.30065E+1,1.65006E-4,-4.734,0.000,0.013,-5.94511E-2,0.000,1.644E-4
0.300,2.29395E+1,1.63442E-4,-4.734,0.003,1.654,-5.94511E-2,3.288E-5,0.021
0.400,2.29420E+1,1.53596E-4,-4.734,0.204,3.648,-5.94511E-2,0.003,0.046
0.500,2.29420E+1,1.55896E-4,-4.733,0.788,4.961,-5.94314E-2,0.010,0.062
0.600,2.31128E+1,1.63166E-4,-4.613,1.403,4.250,-5.79323E-2,0.018,0.053
0.700,2.35790E+1,1.75956E-4,-4.383,1.780,2.073,-5.50327E-2,0.022,0.026
0.800,2.37581E+1,1.81108E-4,-4.243,1.762,0.314,-5.32772E-2,0.022,0.004
0.900,2.39816E+1,1.76416E-4,-4.035,1.673,-0.170,-5.06735E-2,0.021,-0.002
1.000,2.42276E+1,1.92610E-4,-3.903,1.699,0.009,-4.90166E-2,0.021,1.096E-4
1.100,2.43858E+1,1.98131E-4,-3.718,1.741,-0.576,-4.66891E-2,0.022,-0.007
1.200,2.46436E+1,1.98775E-4,-3.541,1.699,-2.225,-4.44601E-2,0.021,-0.028
1.300,2.48110E+1,2.05860E-4,-3.354,1.327,-3.953,-4.21129E-2,0.017,-0.050
1.400,2.48646E+1,2.01720E-4,-3.248,0.778,-4.468,-4.07913E-2,0.010,-0.056
1.500,2.49558E+1,2.05032E-4,-3.214,0.291,-3.421,-4.03573E-2,0.004,-0.043
1.600,2.49910E+1,2.07425E-4,-3.214,0.055,-1.239,-4.03573E-2,6.904E-4,-0.016
1.700,2.49550E+1,2.10277E-4,-3.214,-0.003,2.125,-4.03573E-2,-3.288E-5,0.027
1.800,2.49742E+1,2.05768E-4,-3.215,0.327,5.851,-4.03771E-2,0.004,0.073
1.900,2.49265E+1,2.10369E-4,-3.214,1.293,7.636,-4.03573E-2,0.016,0.096
2.000,2.50755E+1,2.16074E-4,-3.018,2.270,5.690,-3.78917E-2,0.029,0.071
2.100,2.53651E+1,2.17914E-4,-2.636,2.636,1.575,-3.30985E-2,0.033,0.020
2.200,2.53082E+1,2.13774E-4,-2.432,2.398,-1.754,-3.05343E-2,0.030,-0.022
2.300,2.54429E+1,2.28588E-4,-2.218,2.110,-3.770,-2.78517E-2,0.026,-0.047
2.400,2.54998E+1,2.44783E-4,-1.996,1.744,-5.232,-2.50705E-2,0.022,-0.066
2.500,2.56003E+1,2.40918E-4,-1.805,1.029,-5.838,-2.26640E-2,0.013,-0.073
2.600,2.55676E+1,2.37145E-4,-1.799,0.340,-4.603,-2.25851E-2,0.004,-0.058
2.700,2.55794E+1,2.33925E-4,-1.799,0.010,-2.282,-2.25851E-2,1.315E-4,-0.029
2.800,2.55467E+1,2.21871E-4,-1.799,0.000,-0.585,-2.25851E-2,0.000,-0.007
2.900,2.54998E+1,2.38158E-4,-1.799,0.000,-0.013,-2.25851E-2,0.000,-1.644E-4
3.000,2.55317E+1,2.27852E-4,-1.799,0.000,0.135,-2.25851E-2,0.000,0.002
3.100,2.54798E+1,2.27300E-4,-1.799,0.003,1.117,-2.25851E-2,3.288E-5,0.014
3.200,2.55769E+1,2.35857E-4,-1.799,0.079,2.928,-2.25851E-2,9.863E-4,0.037
3.300,2.56170E+1,2.31257E-4,-1.797,0.592,4.411,-2.25654E-2,0.007,0.055
3.400,2.56137E+1,2.30060E-4,-1.753,1.168,4.394,-2.20131E-2,0.015,0.055
3.500,2.55877E+1,2.30152E-4,-1.489,1.560,3.120,-1.86993E-2,0.020,0.039
3.600,2.55559E+1,2.30704E-4,-1.406,1.746,1.841,-1.76539E-2,0.022,0.023
3.700,2.56513E+1,2.37237E-4,-1.208,1.885,0.676,-1.51685E-2,0.024,0.008
3.800,2.56279E+1,2.33097E-4,-0.986,1.948,-0.271,-1.23873E-2,0.024,-0.003
3.900,2.56865E+1,2.42482E-4,-0.778,1.765,-0.894,-9.76387E-3,0.022,-0.011
4.000,2.56639E+1,2.36501E-4,-0.668,1.704,-1.588,-8.38312E-3,0.021,-0.020
4.100,2.56815E+1,2.28680E-4,-0.468,1.592,-2.989,-5.87805E-3,0.020,-0.038
4.200,2.56597E+1,2.34385E-4,-0.273,1.168,-4.499,-3.43215E-3,0.015,-0.056
4.300,2.55702E+1,2.36317E-4,-0.217,0.508,-4.455,-2.72205E-3,0.006,-0.056
4.400,2.56513E+1,2.35121E-4,-0.218,0.089,-2.701,-2.74177E-3,0.001,-0.034
4.500,2.56781E+1,2.29692E-4,-0.218,-0.003,-0.489,-2.74177E-3,-3.287E-5,-0.006
4.600,2.56631E+1,2.36501E-4,-0.218,0.058,1.396,-2.74177E-3,7.232E-4,0.018
4.700,2.57242E+1,2.34661E-4,-0.218,0.246,3.312,-2.74177E-3,0.003,0.042
4.800,2.57476E+1,2.34569E-4,-0.184,0.678,5.232,-2.30782E-3,0.009,0.066
4.900,2.57275E+1,2.33189E-4,-0.105,1.364,5.943,-1.32157E-3,0.017,0.075
5.000,2.56513E+1,2.38434E-4,0.075,2.079,4.285,9.46800E-4,0.026,0.054
5.100,2.56940E+1,2.37053E-4,0.341,2.411,1.248,4.28033E-3,0.030,0.016
5.200,2.57049E+1,2.39354E-4,0.617,2.202,-0.580,7.75193E-3,0.028,-0.007
5.300,2.57350E+1,2.38802E-4,0.800,1.990,-0.353,1.00400E-2,0.025,-0.004
5.400,2.57468E+1,2.32453E-4,0.938,2.152,-0.367,1.17758E-2,0.027,-0.005
5.500,2.57325E+1,2.38434E-4,1.214,2.249,-2.705,1.52474E-2,0.028,-0.034
5.600,2.57476E+1,2.38618E-4,1.494,1.723,-5.733,1.87585E-2,0.022,-0.072
5.700,2.57576E+1,2.42942E-4,1.593,0.796,-6.344,2.00012E-2,0.010,-0.080
5.800,2.57066E+1,2.48095E-4,1.593,0.165,-4.198,2.00012E-2,0.002,-0.053
5.900,2.57618E+1,2.38250E-4,1.593,0.000,-0.685,2.00012E-2,0.000,-0.009
6.000,2.57292E+1,2.37606E-4,1.593,0.000,3.181,2.00012E-2,0.000,0.040
6.100,2.57643E+1,2.38250E-4,1.593,0.550,6.122,2.00012E-2,0.007,0.077
6.200,2.57150E+1,2.42022E-4,1.593,1.524,6.104,2.00012E-2,0.019,0.077
6.300,2.56455E+1,2.50948E-4,1.923,2.149,2.897,2.41434E-2,0.027,0.036
