"Time (s) Run #1","Magnetic Field Strength (Axial) (G) Run #1","Magnetic Field Strength (Perpendicular) (T) Run #1","Angle (rad) Run #1","Angular Velocity (rad/s) Run #1","Angular Acceleration (rad/s²) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,2.96873E+1,2.03560E-4,-4.057,,,-5.09497E-2,,
0.100,2.95827E+1,2.11105E-4,-4.057,0.000,,-5.09497E-2,0.000,
0.200,2.96161E+1,1.98315E-4,-4.057,0.000,0.000,-5.09497E-2,0.000,0.000
0.300,2.97040E+1,1.94451E-4,-4.057,0.000,0.000,-5.09497E-2,0.000,0.000
0.400,2.96655E+1,1.95279E-4,-4.057,0.000,0.000,-5.09497E-2,0.000,0.000
0.500,2.97090E+1,2.00616E-4,-4.057,0.000,0.000,-5.09497E-2,0.000,0.000
0.600,2.96898E+1,2.04020E-4,-4.057,0.000,0.000,-5.09497E-2,0.000,0.000
0.700,2.96337E+1,2.03468E-4,-4.057,0.000,0.004,-5.09497E-2,0.000,5.479E-5
0.800,2.96689E+1,2.02732E-4,-4.057,0.000,0.013,-5.09497E-2,0.000,1.644E-4
0.900,2.97743E+1,2.02088E-4,-4.057,0.003,0.017,-5.09497E-2,3.287E-5,2.192E-4
1.000,2.96664E+1,1.96659E-4,-4.057,0.005,0.449,-5.09497E-2,6.575E-5,0.006
1.100,2.96488E+1,1.97303E-4,-4.056,0.005,1.566,-5.09299E-2,6.575E-5,0.020
1.200,2.96253E+1,1.90034E-4,-4.056,0.267,2.819,-5.09299E-2,0.003,0.035
1.300,2.97107E+1,1.93254E-4,-4.056,0.681,3.054,-5.09299E-2,0.009,0.038
1.400,3.00731E+1,2.13590E-4,-3.897,1.021,1.868,-4.89377E-2,0.013,0.023
1.500,3.01409E+1,2.18835E-4,-3.806,1.084,0.432,-4.77937E-2,0.014,0.005
1.600,3.02723E+1,2.21319E-4,-3.693,0.984,-0.401,-4.63735E-2,0.012,-0.005
1.700,3.02648E+1,2.31072E-4,-3.610,0.977,-0.668,-4.53280E-2,0.012,-0.008
1.800,3.04213E+1,2.36317E-4,-3.503,0.888,-0.772,-4.39867E-2,0.011,-0.010
1.900,3.03778E+1,2.39998E-4,-3.410,0.780,-0.659,-4.28230E-2,0.010,-0.008
2.000,3.02656E+1,2.36777E-4,-3.360,0.717,0.022,-4.21918E-2,0.009,2.740E-4
2.100,3.03627E+1,2.38158E-4,-3.285,0.751,0.737,-4.12450E-2,0.009,0.009
2.200,3.02405E+1,2.46899E-4,-3.198,0.929,0.855,-4.01601E-2,0.012,0.011
2.300,3.01100E+1,2.53524E-4,-3.121,1.011,0.305,-3.91936E-2,0.013,0.004
2.400,2.98731E+1,2.53248E-4,-2.966,0.971,-0.336,-3.72408E-2,0.012,-0.004
2.500,2.97651E+1,2.52696E-4,-2.911,0.893,-0.371,-3.65504E-2,0.011,-0.005
2.600,2.96161E+1,2.59873E-4,-2.826,0.846,0.013,-3.54853E-2,0.011,1.644E-4
2.700,2.94220E+1,2.52696E-4,-2.725,0.914,0.223,-3.42229E-2,0.011,0.003
2.800,2.91742E+1,2.49199E-4,-2.644,0.958,-0.275,-3.31972E-2,0.012,-0.003
2.900,2.90143E+1,2.56561E-4,-2.545,0.914,-1.444,-3.19545E-2,0.011,-0.018
3.000,2.85532E+1,2.62542E-4,-2.432,0.681,-2.470,-3.05343E-2,0.009,-0.031
3.100,2.86159E+1,2.68246E-4,-2.389,0.325,-2.553,-3.00017E-2,0.004,-0.032
3.200,2.85825E+1,2.66406E-4,-2.391,0.065,-1.680,-3.00214E-2,8.219E-4,-0.021
3.300,2.85607E+1,2.62910E-4,-2.391,-0.003,-0.650,-3.00214E-2,-3.287E-5,-0.008
3.400,2.85013E+1,2.58677E-4,-2.391,0.000,-0.100,-3.00214E-2,0.000,-0.001
3.500,2.84686E+1,2.56561E-4,-2.391,0.000,0.017,-3.00214E-2,0.000,2.192E-4
3.600,2.84879E+1,2.54076E-4,-2.391,0.003,0.362,-3.00214E-2,3.287E-5,0.005
3.700,2.85414E+1,2.55548E-4,-2.391,0.005,1.597,-3.00214E-2,6.575E-5,0.020
3.800,2.85456E+1,2.63830E-4,-2.389,0.212,3.661,-3.00017E-2,0.003,0.046
3.900,2.84628E+1,2.56929E-4,-2.389,0.749,5.092,-3.00017E-2,0.009,0.064
4.000,2.81372E+1,2.64842E-4,-2.265,1.456,4.507,-2.84434E-2,0.018,0.057
4.100,2.75530E+1,2.59413E-4,-2.066,1.817,2.077,-2.59384E-2,0.023,0.026
4.200,2.68708E+1,2.62450E-4,-1.839,1.848,-0.668,-2.30980E-2,0.023,-0.008
4.300,2.64381E+1,2.52328E-4,-1.725,1.602,-2.347,-2.16580E-2,0.020,-0.029
4.400,2.58296E+1,2.36041E-4,-1.497,1.270,-2.884,-1.87979E-2,0.016,-0.036
4.500,2.57208E+1,2.40734E-4,-1.447,0.987,-2.343,-1.81667E-2,0.012,-0.029
4.600,2.55107E+1,2.37606E-4,-1.356,0.733,-1.252,-1.70227E-2,0.009,-0.016
4.700,2.53090E+1,2.41654E-4,-1.274,0.733,-0.349,-1.59970E-2,0.009,-0.004
4.800,2.52010E+1,2.51224E-4,-1.230,0.772,-0.284,-1.54447E-2,0.010,-0.004
4.900,2.49407E+1,2.30520E-4,-1.133,0.738,-1.108,-1.42217E-2,0.009,-0.014
5.000,2.46955E+1,2.25828E-4,-1.034,0.558,-1.837,-1.29790E-2,0.007,-0.023
5.100,2.46327E+1,2.39630E-4,-1.027,0.283,-1.811,-1.29001E-2,0.004,-0.023
5.200,2.45490E+1,2.36225E-4,-1.001,0.126,-1.209,-1.25648E-2,0.002,-0.015
5.300,2.46126E+1,2.37514E-4,-0.996,0.084,-0.611,-1.25057E-2,0.001,-0.008
5.400,2.46043E+1,2.38802E-4,-0.990,0.031,-0.336,-1.24268E-2,3.945E-4,-0.004
5.500,2.45147E+1,2.30704E-4,-0.988,0.010,-0.201,-1.24070E-2,1.315E-4,-0.003
