"Time (s) Run #1","Magnetic Field Strength (Axial) (G) Run #1","Magnetic Field Strength (Perpendicular) (T) Run #1","Angle (rad) Run #1","Angular Velocity (rad/s) Run #1","Angular Acceleration (rad/s²) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,2.28240E+1,2.59045E-4,-3.765,,,-4.72808E-2,,
0.100,2.28232E+1,2.65302E-4,-3.765,0.000,,-4.72808E-2,0.000,
0.200,2.27738E+1,2.67694E-4,-3.765,0.000,0.000,-4.72808E-2,0.000,0.000
0.300,2.26775E+1,2.60425E-4,-3.765,0.000,0.004,-4.72808E-2,0.000,5.479E-5
0.400,2.27152E+1,2.66866E-4,-3.765,0.000,0.013,-4.72808E-2,0.000,1.644E-4
0.500,2.26558E+1,2.62081E-4,-3.765,0.003,0.017,-4.72808E-2,3.288E-5,2.192E-4
0.600,2.27085E+1,2.68799E-4,-3.765,0.005,0.009,-4.72808E-2,6.575E-5,1.096E-4
0.700,2.28131E+1,2.60885E-4,-3.764,0.005,-0.004,-4.72611E-2,6.575E-5,-5.479E-5
0.800,2.27478E+1,2.66130E-4,-3.764,0.003,0.240,-4.72611E-2,3.288E-5,0.003
0.900,2.28140E+1,2.72479E-4,-3.764,0.003,0.768,-4.72611E-2,3.288E-5,0.010
1.000,2.27713E+1,2.70547E-4,-3.764,0.152,1.073,-4.72611E-2,0.002,0.013
1.100,2.27880E+1,2.71467E-4,-3.762,0.317,0.602,-4.72414E-2,0.004,0.008
1.200,2.28399E+1,2.65670E-4,-3.674,0.332,-0.419,-4.61368E-2,0.004,-0.005
1.300,2.28642E+1,2.72479E-4,-3.663,0.183,-0.894,-4.59987E-2,0.002,-0.011
1.400,2.28734E+1,2.78920E-4,-3.663,0.034,-0.480,-4.59987E-2,4.274E-4,-0.006
1.500,2.29638E+1,2.79104E-4,-3.663,0.079,0.227,-4.59987E-2,9.863E-4,0.003
1.600,2.28709E+1,2.68707E-4,-3.654,0.149,0.620,-4.58804E-2,0.002,0.008
1.700,2.29010E+1,2.70179E-4,-3.625,0.204,0.676,-4.55253E-2,0.003,0.008
1.800,2.29881E+1,2.74411E-4,-3.611,0.280,0.620,-4.53478E-2,0.004,0.008
1.900,2.30341E+1,2.68154E-4,-3.583,0.353,0.314,-4.49927E-2,0.004,0.004
2.000,2.31446E+1,2.63922E-4,-3.528,0.372,-0.170,-4.43023E-2,0.005,-0.002
2.100,2.32308E+1,2.70823E-4,-3.497,0.301,-0.432,-4.39078E-2,0.004,-0.005
2.200,2.32316E+1,2.70271E-4,-3.475,0.230,-0.244,-4.36317E-2,0.003,-0.003
2.300,2.33145E+1,2.82417E-4,-3.456,0.236,0.196,-4.33950E-2,0.003,0.002
2.400,2.33505E+1,2.72387E-4,-3.431,0.291,0.506,-4.30794E-2,0.004,0.006
2.500,2.32718E+1,2.81773E-4,-3.399,0.359,0.593,-4.26849E-2,0.005,0.007
2.600,2.33932E+1,2.78644E-4,-3.357,0.411,0.764,-4.21523E-2,0.005,0.010
2.700,2.34509E+1,2.75148E-4,-3.314,0.471,1.335,-4.16197E-2,0.006,0.017
2.800,2.33823E+1,2.74780E-4,-3.269,0.636,2.011,-4.10477E-2,0.008,0.025
2.900,2.36292E+1,2.83153E-4,-3.204,0.935,2.064,-4.02390E-2,0.012,0.026
3.000,2.37489E+1,2.96771E-4,-3.085,1.155,1.073,-3.87399E-2,0.014,0.013
3.100,2.40468E+1,2.91894E-4,-2.937,1.191,-0.554,-3.68857E-2,0.015,-0.007
3.200,2.40284E+1,2.89778E-4,-2.843,1.024,-1.894,-3.57022E-2,0.013,-0.024
3.300,2.41448E+1,2.84901E-4,-2.732,0.733,-2.265,-3.43018E-2,0.009,-0.028
3.400,2.41640E+1,2.85085E-4,-2.677,0.476,-1.187,-3.36114E-2,0.006,-0.015
3.500,2.42268E+1,2.86189E-4,-2.664,0.380,0.676,-3.34536E-2,0.005,0.008
3.600,2.42486E+1,2.81681E-4,-2.625,0.665,1.724,-3.29605E-2,0.008,0.022
3.700,2.42460E+1,2.80300E-4,-2.556,0.950,1.139,-3.20926E-2,0.012,0.014
3.800,2.44059E+1,2.81313E-4,-2.386,0.940,-0.135,-2.99623E-2,0.012,-0.002
3.900,2.44779E+1,2.79380E-4,-2.333,0.788,-0.332,-2.92916E-2,0.010,-0.004
4.000,2.44712E+1,2.79840E-4,-2.284,0.746,0.502,-2.86802E-2,0.009,0.006
4.100,2.45398E+1,2.86925E-4,-2.185,0.945,1.182,-2.74375E-2,0.012,0.015
4.200,2.46327E+1,2.85637E-4,-2.086,1.084,1.174,-2.61948E-2,0.014,0.015
4.300,2.48227E+1,2.84165E-4,-1.963,1.160,0.742,-2.46563E-2,0.015,0.009
4.400,2.48336E+1,2.79748E-4,-1.855,1.236,-0.009,-2.32952E-2,0.016,-1.096E-4
4.500,2.48880E+1,2.84809E-4,-1.720,1.238,-1.401,-2.15989E-2,0.016,-0.018
4.600,2.49968E+1,2.91618E-4,-1.588,1.000,-2.919,-1.99420E-2,0.013,-0.037
4.700,2.48830E+1,2.74043E-4,-1.488,0.555,-3.451,-1.86796E-2,0.007,-0.043
4.800,2.50989E+1,2.84717E-4,-1.488,0.168,-2.592,-1.86796E-2,0.002,-0.033
4.900,2.49742E+1,2.75516E-4,-1.488,0.000,-1.204,-1.86796E-2,0.000,-0.015
5.000,2.49700E+1,2.82601E-4,-1.488,0.000,-0.275,-1.86796E-2,0.000,-0.003
5.100,2.49700E+1,2.71835E-4,-1.488,0.000,0.013,-1.86796E-2,0.000,1.644E-4
5.200,2.49650E+1,2.78000E-4,-1.488,0.003,0.039,-1.86796E-2,3.287E-5,4.931E-4
5.300,2.50261E+1,2.80760E-4,-1.488,0.005,0.345,-1.86796E-2,6.575E-5,0.004
5.400,2.50671E+1,2.78368E-4,-1.486,0.018,0.956,-1.86599E-2,2.301E-4,0.012
5.500,2.50429E+1,2.79380E-4,-1.486,0.191,1.466,-1.86599E-2,0.002,0.018
5.600,2.49784E+1,2.82417E-4,-1.478,0.390,1.584,-1.85612E-2,0.005,0.020
5.700,2.49993E+1,2.83521E-4,-1.381,0.513,1.501,-1.73383E-2,0.006,0.019
5.800,2.50035E+1,2.78276E-4,-1.357,0.647,1.532,-1.70424E-2,0.008,0.019
5.900,2.50772E+1,2.76712E-4,-1.299,0.835,1.353,-1.63126E-2,0.010,0.017
6.000,2.50897E+1,2.83889E-4,-1.172,0.987,0.711,-1.47149E-2,0.012,0.009
6.100,2.50470E+1,2.86373E-4,-1.065,0.984,0.022,-1.33736E-2,0.012,2.740E-4
6.200,2.51324E+1,2.81773E-4,-0.999,0.924,-0.275,-1.25451E-2,0.012,-0.003
6.300,2.51425E+1,2.84993E-4,-0.881,0.911,-0.375,-1.10657E-2,0.011,-0.005
6.400,2.51784E+1,2.78184E-4,-0.801,0.895,-0.628,-1.00598E-2,0.011,-0.008
6.500,2.51659E+1,2.78368E-4,-0.716,0.788,-0.995,-8.99460E-3,0.010,-0.012
6.600,2.53241E+1,2.73951E-4,-0.627,0.670,-0.956,-7.87028E-3,0.008,-0.012
6.700,2.53224E+1,2.69627E-4,-0.583,0.539,-0.223,-7.31798E-3,0.007,-0.003
6.800,2.52471E+1,2.79104E-4,-0.533,0.571,0.615,-6.68678E-3,0.007,0.008
6.900,2.52747E+1,2.85453E-4,-0.487,0.754,0.585,-6.11475E-3,0.009,0.007
7.000,2.53718E+1,2.75792E-4,-0.380,0.825,-0.659,-4.77345E-3,0.010,-0.008
7.100,2.53676E+1,2.75792E-4,-0.283,0.636,-2.038,-3.55050E-3,0.008,-0.026
7.200,2.53768E+1,2.85729E-4,-0.242,0.293,-2.334,-3.03765E-3,0.004,-0.029
7.300,2.53283E+1,2.64474E-4,-0.243,0.063,-1.553,-3.05738E-3,7.890E-4,-0.020
7.400,2.52228E+1,2.70915E-4,-0.243,-0.003,-0.593,-3.05738E-3,-3.287E-5,-0.007
7.500,2.52630E+1,2.72571E-4,-0.243,0.000,-0.096,-3.05738E-3,0.000,-0.001
