Record Length,Analog:7000,
Sample Interval,Analog:4.000000E-08,
Vertical Units,CH1:V, CH2:V,,
Vertical Scale,CH1:+1.000000E-01, CH2:+5.000000E+00,,
Vertical Offset,CH1:+2.000000E-03, CH2:+0.000000E+00,,
Horizontal Units,us,
Horizontal Scale,+2.000000E+01,
Model Number,SDS1202X-E,
Serial Number,SDS1EEFX803349,
Software Version,1.3.27,
Source,CH1,CH2
Second,Value,Value
-1.356000E-04,-5.800000E-02,-3.000000E+00
-1.355600E-04,-5.400000E-02,-2.800000E+00
-1.355200E-04,-5.800000E-02,-3.000000E+00
-1.354800E-04,-5.800000E-02,-3.000000E+00
-1.354400E-04,-5.800000E-02,-2.800000E+00
-1.354000E-04,-5.800000E-02,-2.800000E+00
-1.353600E-04,-5.800000E-02,-2.800000E+00
-1.353200E-04,-5.400000E-02,-2.800000E+00
-1.352800E-04,-5.000000E-02,-2.600000E+00
-1.352400E-04,-5.400000E-02,-2.800000E+00
-1.352000E-04,-5.000000E-02,-2.600000E+00
-1.351600E-04,-5.000000E-02,-2.800000E+00
-1.351200E-04,-5.000000E-02,-2.800000E+00
-1.350800E-04,-4.600000E-02,-2.800000E+00
-1.350400E-04,-5.000000E-02,-2.600000E+00
-1.350000E-04,-4.600000E-02,-2.600000E+00
-1.349600E-04,-4.600000E-02,-2.400000E+00
-1.349200E-04,-4.600000E-02,-2.600000E+00
-1.348800E-04,-4.200000E-02,-2.600000E+00
-1.348400E-04,-4.200000E-02,-2.400000E+00
-1.348000E-04,-4.600000E-02,-2.600000E+00
-1.347600E-04,-4.200000E-02,-2.600000E+00
-1.347200E-04,-4.200000E-02,-2.200000E+00
-1.346800E-04,-3.800000E-02,-2.400000E+00
-1.346400E-04,-4.200000E-02,-2.400000E+00
-1.346000E-04,-4.200000E-02,-2.400000E+00
-1.345600E-04,-3.400000E-02,-2.400000E+00
-1.345200E-04,-3.400000E-02,-2.400000E+00
-1.344800E-04,-3.400000E-02,-2.200000E+00
-1.344400E-04,-3.800000E-02,-2.400000E+00
-1.344000E-04,-3.400000E-02,-2.200000E+00
-1.343600E-04,-3.400000E-02,-2.400000E+00
-1.343200E-04,-3.400000E-02,-2.200000E+00
-1.342800E-04,-2.600000E-02,-2.200000E+00
-1.342400E-04,-3.000000E-02,-2.200000E+00
-1.342000E-04,-3.000000E-02,-2.000000E+00
-1.341600E-04,-2.600000E-02,-2.200000E+00
-1.341200E-04,-3.000000E-02,-1.800000E+00
-1.340800E-04,-2.600000E-02,-2.000000E+00
-1.340400E-04,-3.000000E-02,-2.000000E+00
-1.340000E-04,-2.600000E-02,-2.000000E+00
-1.339600E-04,-2.600000E-02,-1.800000E+00
-1.339200E-04,-2.200000E-02,-1.800000E+00
-1.338800E-04,-1.800000E-02,-1.800000E+00
-1.338400E-04,-1.800000E-02,-1.800000E+00
-1.338000E-04,-2.200000E-02,-1.600000E+00
-1.337600E-04,-2.200000E-02,-1.600000E+00
-1.337200E-04,-1.400000E-02,-1.600000E+00
-1.336800E-04,-1.400000E-02,-1.600000E+00
-1.336400E-04,-1.400000E-02,-1.600000E+00
-1.336000E-04,-1.400000E-02,-1.800000E+00
-1.335600E-04,-1.400000E-02,-1.600000E+00
-1.335200E-04,-1.400000E-02,-1.600000E+00
-1.334800E-04,-1.400000E-02,-1.600000E+00
-1.334400E-04,-1.000000E-02,-1.400000E+00
-1.334000E-04,-1.000000E-02,-1.400000E+00
-1.333600E-04,-6.000000E-03,-1.400000E+00
-1.333200E-04,-1.000000E-02,-1.600000E+00
-1.332800E-04,-6.000000E-03,-1.400000E+00
-1.332400E-04,-1.000000E-02,-1.200000E+00
-1.332000E-04,-6.000000E-03,-1.200000E+00
-1.331600E-04,-2.000000E-03,-1.400000E+00
-1.331200E-04,-2.000000E-03,-1.200000E+00
-1.330800E-04,-2.000000E-03,-1.200000E+00
-1.330400E-04,+2.000000E-03,-1.400000E+00
-1.330000E-04,-2.000000E-03,-1.400000E+00
-1.329600E-04,+2.000000E-03,-1.000000E+00
-1.329200E-04,+2.000000E-03,-1.200000E+00
-1.328800E-04,+6.000000E-03,-1.000000E+00
-1.328400E-04,+6.000000E-03,-1.000000E+00
-1.328000E-04,+1.000000E-02,-1.000000E+00
-1.327600E-04,+6.000000E-03,-1.000000E+00
-1.327200E-04,+1.000000E-02,-1.000000E+00
-1.326800E-04,+6.000000E-03,-8.000000E-01
-1.326400E-04,+6.000000E-03,-8.000000E-01
-1.326000E-04,+1.000000E-02,-8.000000E-01
-1.325600E-04,+1.000000E-02,-8.000000E-01
-1.325200E-04,+1.000000E-02,-8.000000E-01
-1.324800E-04,+1.400000E-02,-8.000000E-01
-1.324400E-04,+1.400000E-02,-6.000000E-01
-1.324000E-04,+1.400000E-02,-6.000000E-01
-1.323600E-04,+2.200000E-02,-6.000000E-01
-1.323200E-04,+1.400000E-02,-6.000000E-01
-1.322800E-04,+1.800000E-02,-8.000000E-01
-1.322400E-04,+1.800000E-02,-4.000000E-01
-1.322000E-04,+2.200000E-02,-4.000000E-01
-1.321600E-04,+1.800000E-02,-4.000000E-01
-1.321200E-04,+1.800000E-02,-6.000000E-01
-1.320800E-04,+2.600000E-02,-6.000000E-01
-1.320400E-04,+2.600000E-02,-4.000000E-01
-1.320000E-04,+2.200000E-02,-6.000000E-01
-1.319600E-04,+2.600000E-02,-4.000000E-01
-1.319200E-04,+2.200000E-02,-2.000000E-01
-1.318800E-04,+2.600000E-02,-4.000000E-01
-1.318400E-04,+2.600000E-02,-4.000000E-01
-1.318000E-04,+2.600000E-02,-4.000000E-01
-1.317600E-04,+3.000000E-02,-4.000000E-01
-1.317200E-04,+3.400000E-02,-4.000000E-01
-1.316800E-04,+3.400000E-02,-2.000000E-01
-1.316400E-04,+3.400000E-02,+0.000000E+00
-1.316000E-04,+3.800000E-02,+0.000000E+00
-1.315600E-04,+3.800000E-02,-2.000000E-01
-1.315200E-04,+3.400000E-02,-2.000000E-01
-1.314800E-04,+3.800000E-02,-2.000000E-01
-1.314400E-04,+3.800000E-02,+0.000000E+00
-1.314000E-04,+3.800000E-02,+2.000000E-01
-1.313600E-04,+4.200000E-02,+0.000000E+00
-1.313200E-04,+3.800000E-02,+0.000000E+00
-1.312800E-04,+3.800000E-02,+2.000000E-01
-1.312400E-04,+4.200000E-02,+0.000000E+00
-1.312000E-04,+4.600000E-02,+0.000000E+00
-1.311600E-04,+4.200000E-02,+2.000000E-01
-1.311200E-04,+4.600000E-02,+4.000000E-01
-1.310800E-04,+4.600000E-02,+2.000000E-01
-1.310400E-04,+5.000000E-02,+2.000000E-01
-1.310000E-04,+5.000000E-02,+2.000000E-01
-1.309600E-04,+4.600000E-02,+4.000000E-01
-1.309200E-04,+5.000000E-02,+4.000000E-01
-1.308800E-04,+5.400000E-02,+6.000000E-01
-1.308400E-04,+5.000000E-02,+6.000000E-01
-1.308000E-04,+5.000000E-02,+4.000000E-01
-1.307600E-04,+5.000000E-02,+4.000000E-01
-1.307200E-04,+5.000000E-02,+4.000000E-01
-1.306800E-04,+5.000000E-02,+6.000000E-01
-1.306400E-04,+5.400000E-02,+6.000000E-01
-1.306000E-04,+5.800000E-02,+8.000000E-01
-1.305600E-04,+5.400000E-02,+8.000000E-01
-1.305200E-04,+5.400000E-02,+6.000000E-01
-1.304800E-04,+5.400000E-02,+8.000000E-01
-1.304400E-04,+5.800000E-02,+6.000000E-01
-1.304000E-04,+5.800000E-02,+1.000000E+00
-1.303600E-04,+6.200000E-02,+8.000000E-01
-1.303200E-04,+6.200000E-02,+8.000000E-01
-1.302800E-04,+6.200000E-02,+8.000000E-01
-1.302400E-04,+6.200000E-02,+1.000000E+00
-1.302000E-04,+6.600001E-02,+8.000000E-01
-1.301600E-04,+6.600001E-02,+8.000000E-01
-1.301200E-04,+6.200000E-02,+1.200000E+00
-1.300800E-04,+7.000001E-02,+1.200000E+00
-1.300400E-04,+7.000001E-02,+1.200000E+00
-1.300000E-04,+7.000001E-02,+1.000000E+00
-1.299600E-04,+6.600001E-02,+1.200000E+00
-1.299200E-04,+7.000001E-02,+1.200000E+00
-1.298800E-04,+6.600001E-02,+1.400000E+00
-1.298400E-04,+7.000001E-02,+1.400000E+00
-1.298000E-04,+7.400001E-02,+1.200000E+00
-1.297600E-04,+7.000001E-02,+1.400000E+00
-1.297200E-04,+7.800001E-02,+1.600000E+00
-1.296800E-04,+7.800001E-02,+1.400000E+00
-1.296400E-04,+7.400001E-02,+1.600000E+00
-1.296000E-04,+7.800001E-02,+1.600000E+00
-1.295600E-04,+7.800001E-02,+1.600000E+00
-1.295200E-04,+8.200001E-02,+1.600000E+00
-1.294800E-04,+7.800001E-02,+1.600000E+00
-1.294400E-04,+8.200001E-02,+1.400000E+00
-1.294000E-04,+8.200001E-02,+1.600000E+00
-1.293600E-04,+8.600001E-02,+1.800000E+00
-1.293200E-04,+7.800001E-02,+1.600000E+00
-1.292800E-04,+8.200001E-02,+1.600000E+00
-1.292400E-04,+8.600001E-02,+1.600000E+00
-1.292000E-04,+8.600001E-02,+1.600000E+00
-1.291600E-04,+8.600001E-02,+1.600000E+00
-1.291200E-04,+8.200001E-02,+2.000000E+00
-1.290800E-04,+8.600001E-02,+1.800000E+00
-1.290400E-04,+9.000001E-02,+2.000000E+00
-1.290000E-04,+9.000001E-02,+1.800000E+00
-1.289600E-04,+9.000001E-02,+1.800000E+00
-1.289200E-04,+9.400000E-02,+1.800000E+00
-1.288800E-04,+9.400000E-02,+2.200000E+00
-1.288400E-04,+9.400000E-02,+2.000000E+00
-1.288000E-04,+9.000001E-02,+2.000000E+00
-1.287600E-04,+9.400000E-02,+2.200000E+00
-1.287200E-04,+9.400000E-02,+2.000000E+00
-1.286800E-04,+9.400000E-02,+2.000000E+00
-1.286400E-04,+9.800000E-02,+2.000000E+00
-1.286000E-04,+9.800000E-02,+2.200000E+00
-1.285600E-04,+9.800000E-02,+2.200000E+00
-1.285200E-04,+9.400000E-02,+2.200000E+00
-1.284800E-04,+9.800000E-02,+2.200000E+00
-1.284400E-04,+9.800000E-02,+2.200000E+00
-1.284000E-04,+1.020000E-01,+2.400000E+00
-1.283600E-04,+1.020000E-01,+2.200000E+00
-1.283200E-04,+1.020000E-01,+2.400000E+00
-1.282800E-04,+1.020000E-01,+2.600000E+00
-1.282400E-04,+1.020000E-01,+2.400000E+00
-1.282000E-04,+1.020000E-01,+2.400000E+00
-1.281600E-04,+1.020000E-01,+2.400000E+00
-1.281200E-04,+9.800000E-02,+2.600000E+00
-1.280800E-04,+1.060000E-01,+2.600000E+00
-1.280400E-04,+9.800000E-02,+2.400000E+00
-1.280000E-04,+1.060000E-01,+2.400000E+00
-1.279600E-04,+9.800000E-02,+2.800000E+00
-1.279200E-04,+1.020000E-01,+2.600000E+00
-1.278800E-04,+1.060000E-01,+2.600000E+00
-1.278400E-04,+1.060000E-01,+2.600000E+00
-1.278000E-04,+1.060000E-01,+2.800000E+00
-1.277600E-04,+1.020000E-01,+2.600000E+00
-1.277200E-04,+1.020000E-01,+2.600000E+00
-1.276800E-04,+1.100000E-01,+2.800000E+00
-1.276400E-04,+1.100000E-01,+2.800000E+00
-1.276000E-04,+1.060000E-01,+3.000000E+00
-1.275600E-04,+1.100000E-01,+2.800000E+00
-1.275200E-04,+1.140000E-01,+2.800000E+00
-1.274800E-04,+1.140000E-01,+2.800000E+00
-1.274400E-04,+1.100000E-01,+3.000000E+00
-1.274000E-04,+1.140000E-01,+3.000000E+00
-1.273600E-04,+1.140000E-01,+3.000000E+00
-1.273200E-04,+1.100000E-01,+2.800000E+00
-1.272800E-04,+1.100000E-01,+3.000000E+00
-1.272400E-04,+1.140000E-01,+3.200000E+00
-1.272000E-04,+1.140000E-01,+3.000000E+00
-1.271600E-04,+1.140000E-01,+3.200000E+00
-1.271200E-04,+1.140000E-01,+3.000000E+00
-1.270800E-04,+1.140000E-01,+3.000000E+00
-1.270400E-04,+1.180000E-01,+3.200000E+00
-1.270000E-04,+1.180000E-01,+3.200000E+00
-1.269600E-04,+1.140000E-01,+3.200000E+00
-1.269200E-04,+1.180000E-01,+3.200000E+00
-1.268800E-04,+1.220000E-01,+3.200000E+00
-1.268400E-04,+1.140000E-01,+3.400000E+00
-1.268000E-04,+1.180000E-01,+3.200000E+00
-1.267600E-04,+1.180000E-01,+3.200000E+00
-1.267200E-04,+1.140000E-01,+3.400000E+00
-1.266800E-04,+1.220000E-01,+3.400000E+00
-1.266400E-04,+1.220000E-01,+3.400000E+00
-1.266000E-04,+1.180000E-01,+3.400000E+00
-1.265600E-04,+1.180000E-01,+3.400000E+00
-1.265200E-04,+1.140000E-01,+3.400000E+00
-1.264800E-04,+1.220000E-01,+3.400000E+00
-1.264400E-04,+1.220000E-01,+3.600000E+00
-1.264000E-04,+1.180000E-01,+3.400000E+00
-1.263600E-04,+1.180000E-01,+3.400000E+00
-1.263200E-04,+1.220000E-01,+3.400000E+00
-1.262800E-04,+1.260000E-01,+3.400000E+00
-1.262400E-04,+1.220000E-01,+3.600000E+00
-1.262000E-04,+1.220000E-01,+3.800000E+00
-1.261600E-04,+1.180000E-01,+3.600000E+00
-1.261200E-04,+1.260000E-01,+3.600000E+00
-1.260800E-04,+1.260000E-01,+3.600000E+00
-1.260400E-04,+1.260000E-01,+3.600000E+00
-1.260000E-04,+1.260000E-01,+3.600000E+00
-1.259600E-04,+1.220000E-01,+3.600000E+00
-1.259200E-04,+1.260000E-01,+3.600000E+00
-1.258800E-04,+1.260000E-01,+3.600000E+00
-1.258400E-04,+1.220000E-01,+3.800000E+00
-1.258000E-04,+1.220000E-01,+3.800000E+00
-1.257600E-04,+1.260000E-01,+4.000000E+00
-1.257200E-04,+1.260000E-01,+3.800000E+00
-1.256800E-04,+1.220000E-01,+3.800000E+00
-1.256400E-04,+1.260000E-01,+3.800000E+00
-1.256000E-04,+1.260000E-01,+3.800000E+00
-1.255600E-04,+1.300000E-01,+3.800000E+00
-1.255200E-04,+1.300000E-01,+3.800000E+00
-1.254800E-04,+1.260000E-01,+3.800000E+00
-1.254400E-04,+1.300000E-01,+4.000000E+00
-1.254000E-04,+1.300000E-01,+4.000000E+00
-1.253600E-04,+1.220000E-01,+4.000000E+00
-1.253200E-04,+1.260000E-01,+4.000000E+00
-1.252800E-04,+1.300000E-01,+4.200000E+00
-1.252400E-04,+1.260000E-01,+4.000000E+00
-1.252000E-04,+1.300000E-01,+4.000000E+00
-1.251600E-04,+1.260000E-01,+4.000000E+00
-1.251200E-04,+1.260000E-01,+4.000000E+00
-1.250800E-04,+1.260000E-01,+4.200000E+00
-1.250400E-04,+1.260000E-01,+4.000000E+00
-1.250000E-04,+1.260000E-01,+4.200000E+00
-1.249600E-04,+1.300000E-01,+4.000000E+00
-1.249200E-04,+1.260000E-01,+4.200000E+00
-1.248800E-04,+1.260000E-01,+4.200000E+00
-1.248400E-04,+1.300000E-01,+4.000000E+00
-1.248000E-04,+1.300000E-01,+4.200000E+00
-1.247600E-04,+1.260000E-01,+4.200000E+00
-1.247200E-04,+1.300000E-01,+4.000000E+00
-1.246800E-04,+1.260000E-01,+4.200000E+00
-1.246400E-04,+1.300000E-01,+4.000000E+00
-1.246000E-04,+1.260000E-01,+4.200000E+00
-1.245600E-04,+1.300000E-01,+4.000000E+00
-1.245200E-04,+1.300000E-01,+4.400000E+00
-1.244800E-04,+1.220000E-01,+4.200000E+00
-1.244400E-04,+1.220000E-01,+4.200000E+00
-1.244000E-04,+1.260000E-01,+4.200000E+00
-1.243600E-04,+1.260000E-01,+4.200000E+00
-1.243200E-04,+1.300000E-01,+4.200000E+00
-1.242800E-04,+1.300000E-01,+4.400000E+00
-1.242400E-04,+1.260000E-01,+4.200000E+00
-1.242000E-04,+1.220000E-01,+4.200000E+00
-1.241600E-04,+1.300000E-01,+4.400000E+00
-1.241200E-04,+1.300000E-01,+4.200000E+00
-1.240800E-04,+1.260000E-01,+4.400000E+00
-1.240400E-04,+1.220000E-01,+4.400000E+00
-1.240000E-04,+1.260000E-01,+4.200000E+00
-1.239600E-04,+1.220000E-01,+4.200000E+00
-1.239200E-04,+1.260000E-01,+4.200000E+00
-1.238800E-04,+1.260000E-01,+4.400000E+00
-1.238400E-04,+1.260000E-01,+4.200000E+00
-1.238000E-04,+1.260000E-01,+4.200000E+00
-1.237600E-04,+1.260000E-01,+4.400000E+00
-1.237200E-04,+1.260000E-01,+4.400000E+00
-1.236800E-04,+1.260000E-01,+4.600000E+00
-1.236400E-04,+1.260000E-01,+4.400000E+00
