"Time (s) Run #1","Position (m) Run #1"
13.200,6.30632E-1
13.250,6.23693E-1
13.300,6.18298E-1
13.350,6.14624E-1
13.400,6.12664E-1
13.450,6.12609E-1
13.500,6.14089E-1
13.550,6.17479E-1
13.600,6.22238E-1
13.650,6.28543E-1
13.700,6.36413E-1
13.750,6.45314E-1
13.800,6.55245E-1
13.850,6.66219E-1
13.900,6.77893E-1
13.950,6.89904E-1
14.000,7.02451E-1
14.050,7.15005E-1
14.100,7.27402E-1
14.150,7.39277E-1
14.200,7.50830E-1
14.250,7.61534E-1
14.300,7.71206E-1
14.350,7.79864E-1
14.400,7.87148E-1
14.450,7.93066E-1
14.500,7.97444E-1
14.550,8.00096E-1
14.600,8.01200E-1
14.650,8.00764E-1
14.700,7.98600E-1
14.750,7.94878E-1
14.800,7.89788E-1
14.850,7.83132E-1
14.900,7.75263E-1
14.950,7.66353E-1
15.000,7.56581E-1
15.050,7.45925E-1
15.100,7.34925E-1
15.150,7.23580E-1
15.200,7.11876E-1
15.250,7.00158E-1
15.300,6.88785E-1
15.350,6.77743E-1
15.400,6.67383E-1
15.450,6.57885E-1
15.500,6.49235E-1
15.550,6.41791E-1
15.600,6.35546E-1
15.650,6.30678E-1
15.700,6.27181E-1
15.750,6.25233E-1
15.800,6.24832E-1
15.850,6.25986E-1
15.900,6.28515E-1
15.950,6.32420E-1
16.000,6.37706E-1
16.050,6.44194E-1
16.100,6.51898E-1
16.150,6.60467E-1
16.200,6.69717E-1
16.250,6.79845E-1
16.300,6.90324E-1
16.350,7.00967E-1
16.400,7.11975E-1
16.450,7.22819E-1
16.500,7.33327E-1
16.550,7.43327E-1
16.600,7.52640E-1
16.650,7.61273E-1
16.700,7.69064E-1
16.750,7.75652E-1
16.800,7.81044E-1
16.850,7.85062E-1
16.900,7.87705E-1
16.950,7.88980E-1
17.000,7.88691E-1
17.050,7.87214E-1
17.100,7.84172E-1
17.150,7.79926E-1
17.200,7.74466E-1
17.250,7.67974E-1
17.300,7.60441E-1
17.350,7.52031E-1
17.400,7.43105E-1
17.450,7.33662E-1
17.500,7.23680E-1
17.550,7.13705E-1
17.600,7.03544E-1
17.650,6.93548E-1
17.700,6.83890E-1
17.750,6.74743E-1
17.800,6.66270E-1
17.850,6.58845E-1
17.900,6.52089E-1
17.950,6.46544E-1
18.000,6.42020E-1
18.050,6.38878E-1
18.100,6.36941E-1
18.150,6.36203E-1
18.200,6.36840E-1
18.250,6.38865E-1
18.300,6.41916E-1
18.350,6.46169E-1
18.400,6.51645E-1
18.450,6.57796E-1
18.500,6.64990E-1
18.550,6.72872E-1
18.600,6.81454E-1
18.650,6.90372E-1
18.700,6.99827E-1
18.750,7.09289E-1
18.800,7.18579E-1
18.850,7.27705E-1
18.900,7.36494E-1
18.950,7.44776E-1
19.000,7.52371E-1
19.050,7.59294E-1
19.100,7.65186E-1
19.150,7.70047E-1
19.200,7.73884E-1
19.250,7.76518E-1
19.300,7.77956E-1
19.350,7.78003E-1
19.400,7.77033E-1
19.450,7.74671E-1
19.500,7.71277E-1
19.550,7.66842E-1
19.600,7.61554E-1
19.650,7.55210E-1
19.700,7.48342E-1
19.750,7.41145E-1
19.800,7.33244E-1
19.850,7.24991E-1
19.900,7.16559E-1
19.950,7.08127E-1
20.000,6.99688E-1
20.050,6.91414E-1
20.100,6.83471E-1
20.150,6.76224E-1
20.200,6.69473E-1
20.250,6.63768E-1
20.300,6.58746E-1
20.350,6.54571E-1
20.400,6.51614E-1
20.450,6.49504E-1
20.500,6.48599E-1
20.550,6.48911E-1
20.600,6.50075E-1
20.650,6.52279E-1
20.700,6.55335E-1
20.750,6.59429E-1
20.800,6.64389E-1
20.850,6.70036E-1
20.900,6.76377E-1
20.950,6.83234E-1
21.000,6.90620E-1
21.050,6.98178E-1
21.100,7.05914E-1
21.150,7.13658E-1
21.200,7.21237E-1
21.250,7.28473E-1
21.300,7.35365E-1
21.350,7.41935E-1
21.400,7.47639E-1
21.450,7.52656E-1
21.500,7.56993E-1
21.550,7.60478E-1
21.600,7.62923E-1
21.650,7.64517E-1
21.700,7.65079E-1
21.750,7.64601E-1
21.800,7.63263E-1
21.850,7.61065E-1
21.900,7.58006E-1
21.950,7.54072E-1
22.000,7.49629E-1
22.050,7.44490E-1
22.100,7.38834E-1
22.150,7.32654E-1
22.200,7.26123E-1
22.250,7.19420E-1
22.300,7.12537E-1
22.350,7.05647E-1
22.400,6.98930E-1
22.450,6.92377E-1
22.500,6.86162E-1
22.550,6.80457E-1
22.600,6.75448E-1
22.650,6.70941E-1
22.700,6.67295E-1
22.750,6.64516E-1
22.800,6.62412E-1
22.850,6.61347E-1
22.900,6.61142E-1
22.950,6.61803E-1
23.000,6.63146E-1
23.050,6.65348E-1
23.100,6.68417E-1
23.150,6.72180E-1
23.200,6.76452E-1
23.250,6.81425E-1
23.300,6.86735E-1
23.350,6.92574E-1
23.400,6.98585E-1
23.450,7.04774E-1
23.500,7.10971E-1
23.550,7.16989E-1
23.600,7.23029E-1
23.650,7.28545E-1
23.700,7.33726E-1
23.750,7.38391E-1
23.800,7.42555E-1
23.850,7.45845E-1
23.900,7.48634E-1
23.950,7.50555E-1
24.000,7.51789E-1
24.050,7.52343E-1
24.100,7.52022E-1
24.150,7.51199E-1
24.200,7.49501E-1
24.250,7.47288E-1
24.300,7.44565E-1
24.350,7.41146E-1
24.400,7.37204E-1
24.450,7.32918E-1
24.500,7.28287E-1
24.550,7.23312E-1
24.600,7.17979E-1
24.650,7.12645E-1
24.700,7.07304E-1
24.750,7.02143E-1
24.800,6.96967E-1
24.850,6.92129E-1
24.900,6.87814E-1
24.950,6.83837E-1
25.000,6.80369E-1
25.050,6.77596E-1
25.100,6.75333E-1
25.150,6.73758E-1
25.200,6.72864E-1
25.250,6.72844E-1
25.300,6.73333E-1
25.350,6.74517E-1
25.400,6.76209E-1
25.450,6.78597E-1
25.500,6.81507E-1
25.550,6.84753E-1
25.600,6.88523E-1
25.650,6.92643E-1
25.700,6.96935E-1
25.750,7.01399E-1
25.800,7.06048E-1
25.850,7.10519E-1
25.900,7.15004E-1
25.950,7.19131E-1
26.000,7.23280E-1
26.050,7.26906E-1
26.100,7.30188E-1
26.150,7.33141E-1
26.200,7.35391E-1
26.250,7.37312E-1
26.300,7.38538E-1
26.350,7.39249E-1
26.400,7.39443E-1
26.450,7.39121E-1
26.500,7.38276E-1
26.550,7.37094E-1
26.600,7.35396E-1
26.650,7.33174E-1
26.700,7.30601E-1
26.750,7.27870E-1
26.800,7.24609E-1
26.850,7.21175E-1
26.900,7.17563E-1
26.950,7.13950E-1
27.000,7.10344E-1
27.050,7.06552E-1
27.100,7.02933E-1
27.150,6.99485E-1
27.200,6.96202E-1
27.250,6.93264E-1
27.300,6.90663E-1
27.350,6.88592E-1
27.400,6.86672E-1
27.450,6.85454E-1
27.500,6.84567E-1
27.550,6.84374E-1
27.600,6.84698E-1
27.650,6.85537E-1
27.700,6.86906E-1
27.750,6.88433E-1
27.800,6.90483E-1
27.850,6.92884E-1
27.900,6.95457E-1
27.950,6.98201E-1
28.000,7.01118E-1
28.050,7.04213E-1
28.100,7.07316E-1
28.150,7.10232E-1
28.200,7.13342E-1
28.250,7.16101E-1
28.300,7.18695E-1
28.350,7.20937E-1
28.400,7.23016E-1
28.450,7.24743E-1
28.500,7.26320E-1
28.550,7.27187E-1
28.600,7.27897E-1
28.650,7.28083E-1
28.700,7.27926E-1
28.750,7.27424E-1
28.800,7.26579E-1
28.850,7.25375E-1
28.900,7.24192E-1
28.950,7.22472E-1
29.000,7.20759E-1
29.050,7.18874E-1
29.100,7.16817E-1
29.150,7.14581E-1
29.200,7.12345E-1
29.250,7.10108E-1
29.300,7.07872E-1
29.350,7.05629E-1
29.400,7.03557E-1
29.450,7.01658E-1
29.500,6.99938E-1
29.550,6.98197E-1
29.600,6.96986E-1
29.650,6.95947E-1
29.700,6.95066E-1
29.750,6.94715E-1
29.800,6.94536E-1
29.850,6.94529E-1
29.900,6.94694E-1
29.950,6.95024E-1
30.000,6.95698E-1
30.050,6.96730E-1
30.100,6.97755E-1
30.150,6.98952E-1
30.200,7.00321E-1
30.250,7.01869E-1
30.300,7.03410E-1
30.350,7.05129E-1
30.400,7.06856E-1
30.450,7.08397E-1
30.500,7.10124E-1
30.550,7.11672E-1
30.600,7.13234E-1
30.650,7.14438E-1
30.700,7.15649E-1
30.750,7.16688E-1
30.800,7.17555E-1
30.850,7.18258E-1
30.900,7.18609E-1
30.950,7.18795E-1
31.000,7.18623E-1
31.050,7.18458E-1
31.100,7.18122E-1
31.150,7.17613E-1
31.200,7.16925E-1
31.250,7.16244E-1
31.300,7.15384E-1
31.350,7.14531E-1
31.400,7.13499E-1
31.450,7.12467E-1
31.500,7.11435E-1
31.550,7.10410E-1
31.600,7.09199E-1
31.650,7.08159E-1
31.700,7.07306E-1
31.750,7.06260E-1
31.800,7.05572E-1
31.850,7.04877E-1
31.900,7.04361E-1
31.950,7.03838E-1
32.000,7.03480E-1
32.050,7.03480E-1
32.100,7.03480E-1
32.150,7.03473E-1
32.200,7.03638E-1
32.250,7.03982E-1
32.300,7.04326E-1
32.350,7.04670E-1
32.400,7.05014E-1
32.450,7.05351E-1
32.500,7.05874E-1
32.550,7.06211E-1
32.600,7.06727E-1
32.650,7.07243E-1
32.700,7.07752E-1
32.750,7.08454E-1
32.800,7.08791E-1
32.850,7.09314E-1
32.900,7.09658E-1
32.950,7.10002E-1
33.000,7.10353E-1
33.050,7.10525E-1
33.100,7.10697E-1
33.150,7.10876E-1
33.200,7.10883E-1
33.250,7.10704E-1
33.300,7.10704E-1
33.350,7.10711E-1
33.400,7.10539E-1
33.450,7.10360E-1
33.500,7.10367E-1
33.550,7.10188E-1
33.600,7.10195E-1
33.650,7.10016E-1
33.700,7.10016E-1
33.750,7.10016E-1
33.800,7.10016E-1
33.850,7.10016E-1
33.900,7.10016E-1
33.950,7.10016E-1
34.000,7.10016E-1
34.050,7.10016E-1
34.100,7.10016E-1
34.150,7.10016E-1
34.200,7.10016E-1
34.250,7.10016E-1
34.300,7.10016E-1
34.350,7.10016E-1
34.400,7.10016E-1
34.450,7.10016E-1
34.500,7.10016E-1
34.550,7.10016E-1
34.600,7.10016E-1
34.650,7.10016E-1
34.700,7.10016E-1
34.750,7.10016E-1
34.800,7.10016E-1
34.850,7.10016E-1
34.900,7.10016E-1
34.950,7.10016E-1
35.000,7.10016E-1
35.050,7.10016E-1
35.100,7.10016E-1
35.150,7.10016E-1
35.200,7.10016E-1
35.250,7.10016E-1
35.300,7.10016E-1
35.350,7.10016E-1
35.400,7.10016E-1
35.450,7.10016E-1
35.500,7.10016E-1
35.550,7.10016E-1
35.600,7.10016E-1
35.650,7.10016E-1
35.700,7.10016E-1
35.750,7.10016E-1
35.800,7.10016E-1
35.850,7.10016E-1
35.900,7.10016E-1
35.950,7.10016E-1
36.000,7.10016E-1
36.050,7.10016E-1
36.100,7.10016E-1
36.150,7.10016E-1
36.200,7.10016E-1
36.250,7.10016E-1
36.300,7.10016E-1
36.350,7.10016E-1
36.400,7.10016E-1
36.450,7.10016E-1
36.500,7.10016E-1
36.550,7.10016E-1
36.600,7.10016E-1
36.650,7.10016E-1
36.700,7.10016E-1
36.750,7.10016E-1
36.800,7.10016E-1
36.850,7.10016E-1
