Run date,2025-03-07
Run time,0.5 min.
Increments,0.02 nm
Samples,100 #
Max V,0.876 V
max/min V,6.49 - 
 
Wavelength (nm),Intensity (mV)
588.0,218.663
588.02,218.663
588.04,218.663
588.06,218.663
588.08,220.795
588.1,225.09
588.12,226.434
588.14,231.021
588.16,232.993
588.18,238.122
588.2,241.0
588.22,247.493
588.24,250.636
588.26,259.337
588.28,264.69
588.3,274.833
588.32,282.758
588.34,299.5
588.36,310.451
588.38,328.587
588.4,340.966
588.42,361.141
588.44,379.561
588.46,402.711
588.48,426.969
588.5,452.312
588.52,482.449
588.54,510.537
588.56,540.07
588.58,569.372
588.6,599.056
588.62,623.409
588.64,648.174
588.66,670.44
588.68,693.717
588.7,705.345
588.72,719.272
588.74,726.683
588.76,736.648
588.78,738.886
588.8,749.509
588.82,749.519
588.84,757.677
588.86,754.643
588.88,764.065
588.9,759.687
588.92,771.193
588.94,767.799
588.96,774.204
588.98,782.173
589.0,786.452
589.02,793.631
589.04,797.018
589.06,806.985
589.08,811.406
589.1,821.674
589.12,825.584
589.14,838.697
589.16,841.432
589.18,853.007
589.2,854.943
589.22,862.559
589.24,862.977
589.26,870.86
589.28,870.951
589.3,876.406
589.32,873.859
589.34,876.561
589.36,874.282
589.38,875.982
589.4,873.673
589.42,874.596
589.44,871.681
589.46,872.162
589.48,869.511
589.5,869.912
589.52,867.563
589.54,865.963
589.56,864.38
589.58,863.267
589.6,863.114
589.62,860.431
589.64,858.827
589.66,854.451
589.68,856.227
589.7,848.504
589.72,850.326
589.74,843.057
589.76,840.591
589.78,830.744
589.8,827.102
589.82,817.678
589.84,811.942
589.86,800.736
589.88,792.699
589.9,778.506
589.92,767.929
589.94,750.788
589.96,732.983
589.98,713.344
590.0,686.43
590.02,667.835
590.04,638.858
590.06,620.23
590.08,592.256
590.1,577.23
590.12,551.219
590.14,541.429
590.16,521.97
590.18,515.33
590.2,500.497
590.22,498.734
590.24,486.33
590.26,484.303
590.28,474.972
590.3,473.013
590.32,464.073
590.34,462.192
590.36,452.17
590.38,446.687
590.4,435.979
590.42,429.323
590.44,415.122
590.46,403.848
590.48,389.74
590.5,373.354
590.52,352.358
590.54,336.138
590.56,316.091
590.58,291.303
590.6,274.326
590.62,251.523
590.64,234.738
590.66,217.784
590.68,203.04
590.7,186.16
590.72,174.671
590.74,164.812
590.76,156.842
590.78,151.3
590.8,147.559
590.82,144.401
590.84,141.929
590.86,140.509
590.88,139.182
590.9,138.268
590.92,137.727
590.94,137.212
590.96,136.92
590.98,136.744
591.0,136.681
591.02,136.397
591.04,136.382
591.06,136.276
591.08,136.299
591.1,136.071
591.12,136.163
591.14,136.0
591.16,136.101
591.18,135.909
591.2,135.993
591.22,135.875
591.24,135.649
591.26,135.731
591.28,135.747
591.3,135.593
591.32,135.608
591.34,135.502
591.36,135.66
591.38,135.785
591.4,135.635
591.42,135.401
591.44,135.635
591.46,135.609
591.48,135.359
591.5,135.446
591.52,135.5
591.54,135.422
591.56,135.48
591.58,135.401
591.6,135.185
591.62,135.317
591.64,135.339
591.66,135.345
591.68,135.337
591.7,135.341
591.72,135.256
591.74,135.272
591.76,135.253
591.78,135.251
591.8,135.114
591.82,135.289
591.84,135.148
591.86,135.157
591.88,135.185
591.9,135.22
591.92,135.051
591.94,135.303
591.96,135.162
591.98,135.136
592.0,135.04
