Run date,2025-03-07
Run time,0.5 min.
Increments,0.02 nm
Samples,100 #
Max V,0.823 V
max/min V,6.07 - 
 
Wavelength (nm),Intensity (mV)
587.0,136.663
587.02,136.663
587.04,136.663
587.06,136.663
587.08,136.616
587.1,136.77
587.12,136.902
587.14,136.983
587.16,137.29
587.18,137.091
587.2,137.421
587.22,137.415
587.24,137.606
587.26,137.369
587.28,137.643
587.3,137.672
587.32,137.997
587.34,138.045
587.36,138.269
587.38,138.316
587.4,138.636
587.42,138.715
587.44,138.993
587.46,139.135
587.48,139.593
587.5,139.837
587.52,140.296
587.54,140.462
587.56,141.215
587.58,141.582
587.6,142.573
587.62,143.495
587.64,144.444
587.66,146.02
587.68,147.58
587.7,149.29
587.72,151.551
587.74,154.158
587.76,157.063
587.78,160.374
587.8,164.735
587.82,168.593
587.84,172.728
587.86,177.192
587.88,181.279
587.9,184.845
587.92,188.38
587.94,192.397
587.96,195.857
587.98,199.286
588.0,201.843
588.02,205.33
588.04,207.401
588.06,210.687
588.08,212.822
588.1,216.168
588.12,217.965
588.14,221.859
588.16,224.633
588.18,227.722
588.2,232.121
588.22,235.865
588.24,240.535
588.26,246.167
588.28,253.178
588.3,259.021
588.32,268.088
588.34,276.51
588.36,287.751
588.38,294.933
588.4,309.424
588.42,318.926
588.44,335.156
588.46,347.791
588.48,368.368
588.5,383.973
588.52,408.281
588.54,425.586
588.56,449.495
588.58,466.562
588.6,490.035
588.62,506.855
588.64,526.206
588.66,542.912
588.68,561.861
588.7,573.158
588.72,584.944
588.74,595.279
588.76,603.153
588.78,611.091
588.8,617.669
588.82,627.444
588.84,631.859
588.86,641.063
588.88,644.222
588.9,653.254
588.92,658.118
588.94,667.92
588.96,673.411
588.98,682.903
589.0,691.556
589.02,700.181
589.04,710.583
589.06,719.691
589.08,734.185
589.1,741.95
589.12,756.782
589.14,764.792
589.16,777.677
589.18,781.807
589.2,793.761
589.22,796.645
589.24,807.539
589.26,806.97
589.28,815.093
589.3,814.015
589.32,820.065
589.34,815.219
589.36,821.763
589.38,818.596
589.4,823.133
589.42,819.461
589.44,823.23
589.46,820.943
589.48,821.174
589.5,821.814
589.52,821.167
589.54,822.33
589.56,820.267
589.58,821.692
589.6,818.188
589.62,820.374
589.64,815.878
589.66,817.717
589.68,812.314
589.7,814.304
589.72,806.787
589.74,806.729
589.76,795.787
589.78,793.843
589.8,779.087
589.82,776.623
589.84,759.165
589.86,753.858
589.88,731.95
589.9,719.866
589.92,700.567
589.94,677.188
589.96,657.242
589.98,629.358
590.0,606.31
590.02,578.715
590.04,558.64
590.06,531.589
590.08,522.431
590.1,497.498
590.12,489.542
590.14,472.404
590.16,470.941
590.18,456.923
590.2,455.376
590.22,445.343
590.24,444.498
590.26,435.512
590.28,434.554
590.3,426.818
590.32,424.317
590.34,417.205
590.36,411.62
590.38,402.818
590.4,395.78
590.42,386.886
590.44,375.509
590.46,363.354
590.48,349.683
590.5,333.657
590.52,314.056
590.54,297.943
590.56,278.69
590.58,261.805
590.6,243.281
590.62,224.882
590.64,210.66
590.66,196.172
590.68,182.185
590.7,171.694
590.72,160.688
590.74,154.586
590.76,149.076
590.78,145.707
590.8,142.927
590.82,140.828
590.84,139.385
590.86,138.175
590.88,137.559
590.9,137.067
590.92,136.368
590.94,136.519
590.96,136.049
590.98,135.892
591.0,135.538
