freq (Hz), C_s (nF), R, eps (/e_0)
1.00143,3.83322e-10,-4.89502e+24,2.02935
3.00429,4.78144e-10,-4.99677e+24,2.53135
5.00715,4.88427e-10,-1.89311e+24,2.58578
7.15308,4.88067e-10,1.62401e+24,2.58388
10.0143,4.91167e-10,-1.04814e+24,2.60029
30.0429,4.93934e-10,2.83982e+23,2.61494
50.0715,4.91412e-10,-1.14201e+23,2.60159
71.5308,4.8912e-10,-1.24603e+23,2.58945
100.143,4.93829e-10,6.17289e+22,2.61438
300.429,4.9029e-10,-5.00839e+22,2.59565
500.715,4.92109e-10,-2.12715e+22,2.60527
715.308,4.92129e-10,-6.77834e+21,2.60538
