"Time (s) Run #4","Position (m) Run #4"
5.300,1.69248E-1
5.320,1.69248E-1
5.340,1.69248E-1
5.360,1.69248E-1
5.380,1.69252E-1
5.400,1.69072E-1
5.420,1.69248E-1
5.440,1.69248E-1
5.460,1.69252E-1
5.480,1.69072E-1
5.500,1.69248E-1
5.520,1.69248E-1
5.540,1.69248E-1
5.560,1.69248E-1
5.580,1.69252E-1
5.600,1.69076E-1
5.620,1.69076E-1
5.640,1.69072E-1
5.660,1.69252E-1
5.680,1.69072E-1
5.700,1.69252E-1
5.720,1.69076E-1
5.740,1.69076E-1
5.760,1.69072E-1
5.780,1.69248E-1
5.800,1.69248E-1
5.820,1.69248E-1
5.840,1.69248E-1
5.860,1.69248E-1
5.880,1.69248E-1
5.900,1.69248E-1
5.920,1.69248E-1
5.940,1.69248E-1
5.960,1.69248E-1
5.980,1.69248E-1
6.000,1.69248E-1
6.020,1.69248E-1
6.040,1.69248E-1
6.060,1.69248E-1
6.080,1.69248E-1
6.100,1.69248E-1
6.120,1.69248E-1
6.140,1.69248E-1
6.160,1.69248E-1
6.180,1.69248E-1
6.200,1.69248E-1
6.220,1.69248E-1
6.240,1.69248E-1
6.260,1.69248E-1
6.280,1.69248E-1
6.300,1.69248E-1
6.320,1.69248E-1
6.340,1.69244E-1
6.360,1.69420E-1
6.380,1.69424E-1
6.400,1.69244E-1
6.420,1.69420E-1
6.440,1.69420E-1
6.460,1.69420E-1
6.480,1.69420E-1
