Frequency (Hz)	Level (dB)
1512.707520	-63.600208
1518.090820	-64.669838
1523.474121	-62.499809
1528.857422	-63.322468
1534.240723	-64.254814
1539.624023	-63.721539
1545.007324	-63.191036
1550.390625	-64.814705
1555.773926	-63.389690
1561.157227	-63.331295
1566.540527	-62.640125
1571.923828	-64.254951
1577.307129	-66.120125
1582.690430	-65.963341
1588.073730	-64.270790
1593.457031	-62.494530
1598.840332	-62.517445
1604.223633	-63.101589
1609.606934	-62.432537
1614.990234	-64.714081
1620.373535	-64.365036
1625.756836	-62.671036
1631.140137	-63.451771
1636.523438	-62.831871
1641.906738	-62.353966
1647.290039	-62.697811
1652.673340	-60.577953
1658.056641	-61.527061
1663.439941	-63.041660
1668.823242	-63.788597
1674.206543	-64.117493
1679.589844	-64.015747
1684.973145	-64.317383
1690.356445	-64.060333
1695.739746	-63.572639
1701.123047	-63.615391
1706.506348	-63.406319
1711.889648	-63.789886
1717.272949	-63.879520
1722.656250	-63.250633
1728.039551	-64.678925
1733.422852	-64.229988
1738.806152	-63.557064
1744.189453	-62.071384
1749.572754	-62.585041
1754.956055	-63.469002
1760.339355	-62.770981
1765.722656	-63.841557
1771.105957	-65.405701
1776.489258	-62.649136
1781.872559	-63.080761
1787.255859	-63.615845
1792.639160	-63.547516
1798.022461	-64.149712
1803.405762	-64.035095
1808.789062	-64.086212
1814.172363	-62.546455
1819.555664	-62.017410
1824.938965	-61.962891
1830.322266	-63.043442
1835.705566	-63.972969
1841.088867	-63.736614
1846.472168	-62.616241
1851.855469	-60.701954
1857.238770	-61.942642
1862.622070	-61.934608
1868.005371	-64.078957
1873.388672	-63.147018
1878.771973	-62.602016
1884.155273	-62.195583
1889.538574	-63.044113
1894.921875	-64.856171
1900.305176	-64.272751
1905.688477	-64.317535
1911.071777	-64.398384
1916.455078	-65.417915
1921.838379	-64.076805
1927.221680	-64.285011
1932.604980	-62.802227
1937.988281	-62.114197
1943.371582	-63.085884
1948.754883	-64.551872
1954.138184	-63.548473
1959.521484	-63.755119
1964.904785	-64.256950
1970.288086	-65.610725
1975.671387	-63.308800
1981.054688	-62.074139
1986.437988	-64.849487
1991.821289	-65.892960
1997.204590	-67.063805
2002.587891	-64.834389
2007.971191	-64.494499
2013.354492	-66.295090
2018.737793	-66.038979
2024.121094	-64.507729
2029.504395	-62.764111
2034.887695	-62.064812
2040.270996	-62.922482
2045.654297	-64.030792
2051.037598	-63.378048
2056.420898	-60.867184
2061.804199	-61.860294
2067.187500	-62.895924
2072.570801	-61.569721
2077.954102	-61.025829
2083.337402	-62.107449
2088.720703	-63.607105
2094.104004	-64.086235
2099.487305	-61.811626
2104.870605	-61.180996
2110.253906	-63.163208
2115.637207	-63.557053
2121.020508	-63.662155
2126.403809	-62.393795
2131.787109	-64.203773
2137.170410	-64.282578
2142.553711	-64.178574
2147.937012	-64.247246
2153.320312	-63.998440
2158.703613	-62.982998
2164.086914	-63.523949
2169.470215	-64.487495
2174.853516	-63.775867
2180.236816	-64.861809
2185.620117	-65.578888
2191.003418	-63.624100
2196.386719	-62.784557
2201.770020	-64.197754
2207.153320	-65.352226
2212.536621	-65.039124
2217.919922	-64.542358
2223.303223	-64.639442
2228.686523	-64.052231
2234.069824	-62.914730
2239.453125	-62.639568
2244.836426	-64.829514
2250.219727	-62.932766
2255.603027	-63.500198
2260.986328	-65.147690
2266.369629	-64.979240
2271.752930	-62.213432
2277.136230	-62.486427
2282.519531	-62.040737
2287.902832	-62.614868
2293.286133	-64.740486
2298.669434	-64.712791
2304.052734	-64.191521
2309.436035	-63.757942
2314.819336	-64.604317
2320.202637	-62.001175
2325.585938	-62.444118
2330.969238	-63.029217
2336.352539	-64.609169
2341.735840	-65.675270
2347.119141	-62.530640
2352.502441	-62.591358
2357.885742	-65.750290
2363.269043	-64.259621
2368.652344	-61.936047
2374.035645	-62.458420
2379.418945	-63.075962
2384.802246	-63.481026
2390.185547	-64.659264
2395.568848	-64.125420
2400.952148	-62.627552
2406.335449	-61.029606
2411.718750	-63.638645
2417.102051	-65.296333
2422.485352	-63.187904
2427.868652	-62.950485
2433.251953	-62.990101
2438.635254	-62.281303
2444.018555	-63.741455
2449.401855	-64.757584
2454.785156	-64.253387
2460.168457	-65.512184
2465.551758	-66.131691
2470.935059	-64.691994
2476.318359	-64.261971
2481.701660	-63.561428
2487.084961	-64.469917
2492.468262	-63.863544
2497.851562	-64.597626
2503.234863	-65.238632
2508.618164	-63.453224
2514.001465	-63.099850
2519.384766	-61.891232
2524.768066	-62.449829
2530.151367	-64.784851
2535.534668	-65.504631
2540.917969	-64.318825
2546.301270	-63.384346
2551.684570	-62.894676
2557.067871	-63.123180
2562.451172	-63.066532
2567.834473	-62.502647
2573.217773	-64.096886
2578.601074	-65.145439
2583.984375	-65.319290
2589.367676	-63.947086
2594.750977	-62.860863
2600.134277	-63.358578
2605.517578	-61.089283
2610.900879	-63.882092
2616.284180	-65.335869
2621.667480	-64.857407
2627.050781	-63.908295
2632.434082	-62.744682
2637.817383	-64.888275
2643.200684	-61.889797
2648.583984	-60.798756
2653.967285	-62.325153
2659.350586	-62.957134
2664.733887	-64.120316
2670.117188	-62.712292
2675.500488	-61.843456
2680.883789	-62.252647
2686.267090	-63.906704
2691.650391	-62.391716
2697.033691	-62.503548
2702.416992	-65.048874
2707.800293	-65.898613
2713.183594	-65.627754
2718.566895	-63.561840
2723.950195	-62.659222
2729.333496	-63.987659
2734.716797	-65.299385
2740.100098	-63.196659
2745.483398	-64.955009
2750.866699	-63.100609
2756.250000	-62.193340
2761.633301	-63.229511
2767.016602	-62.513962
2772.399902	-64.020569
2777.783203	-65.204216
2783.166504	-65.060356
2788.549805	-63.719318
2793.933105	-60.936474
2799.316406	-60.635849
2804.699707	-62.417953
2810.083008	-65.174637
2815.466309	-64.727409
2820.849609	-65.940536
2826.232910	-66.657616
2831.616211	-65.958618
2836.999512	-64.900124
2842.382812	-62.694675
2847.766113	-61.623528
2853.149414	-62.072674
2858.532715	-61.893494
2863.916016	-60.756634
2869.299316	-61.959282
2874.682617	-63.528137
2880.065918	-64.729172
2885.449219	-65.332184
2890.832520	-64.598907
2896.215820	-65.011253
2901.599121	-64.473648
2906.982422	-65.128342
2912.365723	-64.898537
2917.749023	-64.399841
2923.132324	-64.064957
2928.515625	-65.068367
2933.898926	-65.129753
2939.282227	-63.008682
2944.665527	-62.329292
2950.048828	-61.359451
2955.432129	-62.156258
2960.815430	-64.268112
2966.198730	-63.700405
2971.582031	-62.069462
2976.965332	-63.571255
2982.348633	-64.593719
2987.731934	-62.279610
2993.115234	-62.470818
2998.498535	-64.765198
3003.881836	-65.067924
3009.265137	-62.051403
3014.648438	-63.105904
3020.031738	-63.712200
3025.415039	-66.164803
3030.798340	-65.951988
3036.181641	-65.638069
3041.564941	-64.647797
3046.948242	-64.268509
3052.331543	-64.288841
3057.714844	-63.025349
3063.098145	-62.617363
3068.481445	-62.404896
3073.864746	-64.001495
3079.248047	-63.537159
3084.631348	-63.322159
3090.014648	-64.028725
3095.397949	-64.676025
3100.781250	-63.945896
3106.164551	-61.998299
3111.547852	-61.747849
3116.931152	-63.801376
3122.314453	-63.737926
3127.697754	-62.114895
3133.081055	-64.175186
3138.464355	-64.898392
3143.847656	-63.027561
3149.230957	-63.352150
3154.614258	-64.126663
3159.997559	-64.717354
3165.380859	-64.917328
3170.764160	-63.935917
3176.147461	-64.053825
3181.530762	-63.547821
3186.914062	-61.331268
3192.297363	-61.995930
3197.680664	-64.070251
3203.063965	-63.860699
3208.447266	-61.903797
3213.830566	-62.417152
3219.213867	-63.772923
3224.597168	-64.547806
3229.980469	-65.237000
3235.363770	-63.153576
3240.747070	-62.147305
3246.130371	-62.283436
3251.513672	-64.016098
3256.896973	-65.327461
3262.280273	-65.388885
3267.663574	-64.421783
3273.046875	-63.976025
3278.430176	-64.219666
3283.813477	-65.925140
3289.196777	-64.991844
3294.580078	-63.523079
3299.963379	-62.386581
3305.346680	-62.010780
3310.729980	-63.081455
3316.113281	-62.939041
3321.496582	-61.929771
3326.879883	-61.632202
3332.263184	-63.284927
3337.646484	-64.967003
3343.029785	-66.002052
3348.413086	-65.151001
3353.796387	-66.048630
3359.179688	-65.755356
3364.562988	-63.576302
3369.946289	-61.940521
3375.329590	-61.325172
3380.712891	-62.413574
3386.096191	-63.646900
3391.479492	-63.116585
3396.862793	-63.602001
3402.246094	-65.235931
3407.629395	-63.867226
3413.012695	-61.699932
3418.395996	-62.148735
3423.779297	-63.329128
3429.162598	-62.172306
3434.545898	-64.230217
3439.929199	-64.685738
3445.312500	-63.504742
3450.695801	-64.443443
3456.079102	-63.132767
3461.462402	-64.674004
3466.845703	-65.332977
3472.229004	-65.608063
3477.612305	-64.579063
3482.995605	-64.257507
3488.378906	-63.575832
3493.762207	-63.527100
3499.145508	-62.907223
3504.528809	-62.202564
3509.912109	-64.370110
3515.295410	-62.595695
3520.678711	-62.339909
3526.062012	-63.433117
3531.445312	-64.045418
3536.828613	-63.899334
3542.211914	-65.541893
3547.595215	-65.311188
3552.978516	-64.063934
3558.361816	-62.665054
3563.745117	-62.027252
3569.128418	-63.593327
3574.511719	-64.175438
3579.895020	-62.451797
3585.278320	-62.597912
3590.661621	-64.105476
3596.044922	-64.834160
3601.428223	-64.062973
3606.811523	-62.515438
3612.194824	-61.947571
3617.578125	-63.549191
3622.961426	-65.302345
3628.344727	-65.638916
3633.728027	-68.137383
3639.111328	-66.431412
3644.494629	-62.858570
3649.877930	-63.819778
3655.261230	-63.510773
3660.644531	-63.824352
3666.027832	-62.838379
3671.411133	-63.727356
3676.794434	-66.391846
3682.177734	-65.279861
3687.561035	-64.141121
3692.944336	-63.676086
3698.327637	-62.923939
3703.710938	-63.016121
3709.094238	-63.073792
3714.477539	-63.676777
3719.860840	-65.339066
3725.244141	-65.280426
3730.627441	-63.247799
3736.010742	-62.177170
3741.394043	-63.247501
3746.777344	-60.745609
3752.160645	-61.474953
3757.543945	-62.728058
3762.927246	-63.302059
3768.310547	-63.855511
3773.693848	-64.634941
3779.077148	-63.690891
3784.460449	-62.743790
3789.843750	-60.649086
3795.227051	-61.707130
3800.610352	-64.894730
3805.993652	-66.053162
3811.376953	-63.390472
3816.760254	-62.296589
3822.143555	-62.028290
3827.526855	-63.056053
3832.910156	-65.615646
3838.293457	-65.542152
3843.676758	-65.879951
3849.060059	-64.348190
3854.443359	-63.968971
3859.826660	-64.595001
3865.209961	-64.108482
3870.593262	-63.949085
3875.976562	-64.746056
3881.359863	-63.892227
3886.743164	-63.282463
3892.126465	-62.506302
3897.509766	-61.214447
3902.893066	-62.548031
3908.276367	-64.010818
3913.659668	-64.549477
3919.042969	-64.395920
3924.426270	-62.949699
3929.809570	-63.286472
3935.192871	-63.589165
3940.576172	-63.580555
3945.959473	-63.140091
3951.342773	-62.271065
3956.726074	-61.766888
3962.109375	-63.620300
3967.492676	-62.884850
3972.875977	-63.513046
3978.259277	-63.380608
3983.642578	-63.759857
3989.025879	-63.744022
3994.409180	-62.609932
3999.792480	-65.359016
4005.175781	-65.293526
4010.559082	-63.277065
4015.942383	-63.952801
4021.325684	-64.322258
4026.708984	-63.277252
4032.092285	-63.922691
4037.475586	-64.120880
4042.858887	-63.663479
4048.242188	-63.836414
4053.625488	-64.697693
4059.008789	-63.676567
4064.392090	-64.393509
4069.775391	-64.210556
4075.158691	-63.544357
4080.541992	-63.477509
4085.925293	-63.030090
4091.308594	-62.681160
4096.691895	-62.522835
4102.075195	-65.174782
4107.458496	-66.436348
4112.841797	-65.944717
4118.225098	-66.167564
4123.608398	-65.460136
4128.991699	-64.129532
4134.375000	-63.362015
4139.758301	-64.913414
4145.141602	-64.317421
4150.524902	-64.563957
4155.908203	-65.344208
4161.291504	-64.628647
4166.674805	-65.293854
4172.058105	-64.927238
4177.441406	-63.647514
4182.824707	-62.058296
4188.208008	-65.793518
4193.591309	-64.428543
4198.974609	-62.753147
4204.357910	-64.155258
4209.741211	-63.508358
4215.124512	-62.796082
4220.507812	-65.212265
4225.891113	-64.363518
4231.274414	-62.826015
4236.657715	-62.988705
4242.041016	-62.331970
4247.424316	-62.663212
4252.807617	-63.233082
4258.190918	-63.575191
4263.574219	-65.820808
4268.957520	-66.375443
4274.340820	-65.420105
