axial, perp, pos
17.2698,1.72091,-0.083
17.3317,1.55252,-0.083
17.2338,1.56909,-0.083
17.4188,1.55344,-0.083
17.3351,1.55068,-0.083
17.4188,1.59669,-0.083
17.3167,1.60865,-0.083
17.269,1.52768,-0.083
17.3493,1.56172,-0.083
17.2547,1.5562,-0.083
17.3995,1.51572,-0.083
17.2974,1.62061,-0.083
17.3075,1.58013,-0.083
17.3476,1.60589,-0.083
17.2907,1.60865,-0.083
17.3627,1.50284,-0.083
17.3217,1.65282,-0.083
17.3016,1.66202,-0.083
17.3058,1.6335,-0.083
17.3535,1.63994,-0.083
17.3468,1.69607,-0.083
17.2497,1.6427,-0.083
17.274,1.67582,-0.083
17.3501,1.6565,-0.083
17.5644,1.71907,-0.0821124
18.0992,1.76876,-0.0797651
18.1712,1.77704,-0.0795876
18.2332,1.6427,-0.0793903
18.1545,1.7568,-0.0792917
18.2064,1.72183,-0.079272
18.3194,1.78808,-0.0789564
18.7973,1.89206,-0.0766486
18.8324,1.72919,-0.0766288
18.9295,1.83317,-0.0761357
19.2367,1.75588,-0.0746169
19.3748,1.83133,-0.0743999
19.4083,1.80924,-0.0739265
19.5907,1.87365,-0.0734136
19.6393,1.81753,-0.0732953
19.6393,1.83869,-0.0730783
19.7983,1.86169,-0.0724866
20.1214,1.88102,-0.0712834
20.211,1.93899,-0.0706127
20.2821,1.93991,-0.0701393
20.3315,1.90218,-0.0696659
20.863,1.92334,-0.0681273
20.9483,1.97763,-0.0681273
20.9383,1.96935,-0.0681273
20.8563,1.95095,-0.0681273
20.8328,1.90678,-0.0681273
20.8646,1.92058,-0.0681273
20.9366,2.02272,-0.0681273
20.9107,1.93806,-0.0681273
20.8387,1.92334,-0.0681273
20.8295,1.9353,-0.0681273
20.9149,1.9031,-0.0681273
20.8219,1.85985,-0.0681273
21.2212,1.97487,-0.0664704
21.6255,1.97395,-0.0649122
22.0096,1.99879,-0.0635314
22.2641,1.89114,-0.0624071
22.5905,2.06136,-0.0611644
22.8416,2.18374,-0.0607305
22.8567,2.13222,-0.0601782
22.9864,2.08437,-0.0596653
23.1772,2.08069,-0.0584818
23.7338,2.19755,-0.0568447
23.9464,2.19203,-0.0557992
24.282,2.24907,-0.0547144
24.5557,2.27944,-0.05359
24.6445,2.35581,-0.0531758
