axial, perp, fakepos, pos
19.836,1.96567,0.015,0
19.8176,1.94543,0.015,0
19.8829,2.01628,0.015,0
19.8745,2.1497,0.015,0
19.8084,2.06321,0.015,0
19.8536,2.0126,0.015,0
19.8259,2.10185,0.015,0
19.8603,2.05216,0.015,0
19.8519,2.01168,0.015,0
19.8176,1.96935,0.015,0
19.8234,2.0034,0.015,0
19.8033,1.97211,0.015,0
19.8996,2.01444,0.015,0
19.8502,2.03744,0.015,0
19.882,1.94083,0.015,0
19.8201,1.95463,0.015,0
19.7874,2.00616,0.015,0
19.7941,2.04848,0.015,0
19.7833,1.97579,0.015,0
19.8025,1.99143,0.015,0
19.9331,1.97855,0.015,0
19.795,1.98407,0.015,0
19.851,1.93899,0.015,0
19.8812,2.05676,0.015,0
19.7883,2.07517,0.015,0
19.9155,2.16626,0.015,0
19.9255,2.12117,0.015,0
20.0528,2.09173,0.015,0
19.923,2.06597,0.015,0
19.8653,2.05676,0.015,0
19.9381,2.08161,0.015,0
19.9624,2.07057,0.015,0
19.8854,2.15614,0.015,0
19.8812,1.97947,0.015,0
19.9364,2.054,0.015,0
19.8695,2.10093,0.015,0
19.8812,2.06873,0.015,0
19.8151,2.06505,0.015,0
19.8988,1.97119,0.015,0
19.8427,1.93254,0.015,0
19.8619,1.95923,0.015,0
19.8368,1.94267,0.015,0
19.7992,1.90678,0.015,0
19.8393,1.97487,0.015,0
19.8586,1.8985,0.015,0
19.9306,1.9169,0.015,0
19.8586,1.96383,0.015,0
19.8418,1.98223,0.015,0
19.7966,2.00063,0.015,0
19.8946,2.01996,0.015,0
19.7891,1.97303,0.015,0
19.8017,2.05124,0.015,0
19.8937,2.0586,0.015,0
19.8444,2.08161,0.015,0
19.8418,2.03928,0.015,0
19.8485,2.00708,0.015,1.9725e-05
19.7238,2.0448,0.015,1.9725e-05
19.795,2.00524,0.015,1.9725e-05
19.8611,2.07977,0.015,3.945e-05
19.9055,2.00524,0.015,0.000256425
19.8134,2.01628,0.015,0.00027615
19.8686,2.06044,0.015,0.000650925
19.8142,1.96935,0.015,0.000848175
19.7891,1.95831,0.015,0.00100597
19.8611,1.9123,0.015,0.00185415
19.7632,1.75956,0.015,0.00372803
19.7389,1.81292,0.015,0.00398445
19.656,1.76784,0.015,0.0042606
19.564,1.74023,0.015,0.00463537
19.5681,1.78992,0.015,0.00487208
19.6334,1.85065,0.015,0.0051285
19.6929,1.75312,0.015,0.0065487
19.6644,1.76416,0.015,0.0069432
19.7816,1.83869,0.015,0.00779138
19.7464,1.75496,0.015,0.00901433
19.8912,1.59209,0.015,0.00984277
19.9716,1.57277,0.015,0.0104345
19.9741,1.59761,0.015,0.010829
19.9783,1.5424,0.015,0.0108685
20.0017,1.70159,0.015,0.0108685
19.9707,1.70527,0.015,0.0108685
19.9682,1.68686,0.015,0.0108685
19.9138,1.79544,0.015,0.0108685
19.805,1.59945,0.015,0.0108488
19.9172,1.55252,0.015,0.0108685
19.9373,1.5102,0.015,0.0112827
20.2135,1.51204,0.015,0.0131369
20.252,1.53412,0.015,0.0136694
20.3817,1.46695,0.015,0.0146557
20.8605,1.4283,0.015,0.0166084
21.0454,1.38598,0.015,0.0176342
21.5602,1.49087,0.015,0.0196067
21.9092,1.34641,0.015,0.0210071
22.326,1.35285,0.015,0.0219145
22.6717,1.50836,0.015,0.0231177
23.0801,1.45223,0.015,0.0239067
23.5781,1.35009,0.015,0.0253466
24.3607,1.36849,0.015,0.0269641
24.6227,1.38966,0.015,0.0275558
24.9717,1.47155,0.015,0.0282462
25.5877,1.42094,0.015,0.0294494
26.151,1.44119,0.015,0.030337
26.1293,1.5332,0.015,0.0304357
26.0774,1.46327,0.015,0.0304357
26.1309,1.47799,0.015,0.0304357
26.0933,1.51388,0.015,0.0304357
26.1493,1.41358,0.015,0.0304357
26.0807,1.47799,0.015,0.0304357
26.2038,1.53412,0.015,0.0304357
26.1167,1.40254,0.015,0.0304357
26.1719,1.39794,0.015,0.0304357
26.1996,1.54792,0.015,0.0304554
26.721,1.51756,0.015,0.0314614
27.7195,1.5378,0.015,0.0330197
28.6695,1.59393,0.015,0.0342426
29.7609,1.58197,0.015,0.035939
30.341,1.5424,0.015,0.0367674
31.1821,1.62061,0.015,0.0377537
32.0292,1.67766,0.015,0.0389766
33.3181,1.93438,0.015,0.0403968
34.4079,1.96567,0.015,0.0416789
35.1377,1.93806,0.015,0.0426849
36.3463,2.11565,0.015,0.0442235
