axial, perp, pos
20.0009,1.69791,0.113182
19.9716,1.66938,0.113182
20.0703,1.75404,0.113182
20.0812,1.7522,0.113162
20.1222,1.72551,0.113162
20.0235,1.65098,0.113162
20.0762,1.73011,0.112945
20.1699,1.75035,0.11188
20.2369,1.79176,0.110933
20.2386,1.79544,0.109967
20.303,1.76324,0.10906
20.1833,1.74023,0.108448
20.2654,1.74023,0.107856
20.4009,1.70343,0.107265
20.3465,1.68042,0.10691
20.3516,1.63902,0.106594
20.3122,1.69147,0.106278
20.3717,1.69423,0.105844
20.3691,1.66478,0.10547
20.3332,1.74207,0.104641
20.3072,1.77244,0.103201
20.2854,1.60589,0.101761
20.2068,1.57737,0.101189
20.1733,1.66938,0.100992
20.2394,1.58749,0.100696
20.0879,1.6519,0.100144
20.1532,1.5608,0.0997296
20.2076,1.6519,0.0991576
20.1281,1.57645,0.0984869
20.2059,1.67306,0.0980135
20.0996,1.67582,0.0972837
20.0235,1.45315,0.09683
20.0871,1.54792,0.0967117
19.9908,1.49455,0.0961988
19.9791,1.56633,0.0954887
19.8536,1.43198,0.0948378
19.887,1.55436,0.0943447
19.8603,1.54792,0.0936346
19.8435,1.46143,0.093102
19.7791,1.53504,0.0929048
19.7581,1.52216,0.0929245
19.872,1.48811,0.0929245
19.8686,1.45499,0.0929245
19.7908,1.48811,0.0929245
19.8418,1.5516,0.0929245
19.9121,1.57553,0.0929245
19.7573,1.47983,0.0929245
19.8368,1.45131,0.0929245
19.7757,1.49455,0.0929245
19.7607,1.51296,0.0929048
19.7037,1.5056,0.0917213
19.5774,1.44487,0.090163
19.5556,1.44211,0.0884666
19.5213,1.52032,0.0873818
19.4108,1.42002,0.0870464
19.4459,1.45683,0.0866519
19.3581,1.40346,0.0857051
19.1957,1.39242,0.0847781
19.1053,1.41358,0.0839102
19.0685,1.36481,0.0829831
19.0082,1.39978,0.0820955
18.8542,1.42462,0.0812867
18.7688,1.40254,0.0804977
18.7655,1.32341,0.0798074
18.6642,1.27924,0.0789986
18.6048,1.34181,0.078111
18.5043,1.34365,0.0770853
18.3997,1.31052,0.0765922
18.3336,1.31973,0.0754481
18.1068,1.21759,0.0726472
17.782,1.2774,0.0703985
17.5971,1.31144,0.0688403
17.5192,1.22219,0.0683274
17.3895,1.1587,0.0679132
17.3535,1.15318,0.0679132
17.3953,1.14306,0.0679132
17.3694,1.15042,0.0679132
17.5259,1.13386,0.0679132
17.4037,1.13202,0.0679132
17.4606,1.20655,0.0679132
17.4129,1.20655,0.0679132
17.4288,1.20011,0.0676962
17.2673,1.24611,0.0666902
17.1258,1.31328,0.0650531
16.9777,1.15962,0.0634553
16.8722,1.18446,0.0618773
16.7492,1.10993,0.0610094
16.6169,1.16054,0.0604571
16.4822,1.15042,0.0592342
16.2411,1.0492,0.0577943
16.2152,1.09521,0.0572814
16.2185,1.10809,0.0565516
16.0503,1.20563,0.0553878
15.872,1.06945,0.0536323
15.6059,1.08509,0.0524291
15.5347,1.1403,0.0516401
15.4703,1.17342,0.0507524
15.3121,1.03356,0.0495689
15.3012,1.08233,0.0481093
15.1413,1.06024,0.0465116
15.1045,1.10441,0.0461762
15.1899,1.02804,0.046196
15.0878,1.0538,0.046196
15.1171,0.969149,0.046196
15.2033,1.07037,0.046196
15.1439,1.00964,0.046196
15.1045,1.0538,0.046196
15.0786,1.00504,0.0461762
14.9823,1.03264,0.0453478
14.8593,1.0124,0.0441051
14.7923,0.977431,0.0432372
14.7245,0.943385,0.0415014
14.527,1.08601,0.0402587
14.3964,1.04644,0.0382665
14.2215,1.04276,0.0362743
14.1428,1.20471,0.0347752
14.0876,1.11269,0.0340059
13.9813,1.10441,0.0329605
13.9637,1.05012,0.0320137
13.9679,1.063,0.0310472
13.8449,1.13018,0.0297453
13.8373,1.12741,0.0284829
13.839,1.11821,0.0264118
13.716,1.06208,0.0246563
13.5502,1.05196,0.0239659
13.5653,1.09061,0.0239856
13.5787,1.01516,0.0239856
13.5394,1.04368,0.0239856
13.5385,1.08417,0.0239856
13.618,1.00135,0.0239462
13.4439,1.09981,0.0208691
13.3937,1.11821,0.0180484
13.3862,1.08969,0.0157603
13.2816,1.15686,0.0132158
13.3929,1.07313,0.0109671
13.4439,1.16146,0.0091524
13.4205,1.02804,0.0075744
13.3895,1.24427,0.00546383
13.4523,1.18354,0.004734
13.4548,1.0538,0.00475373
13.3954,1.09797,0.00475373
13.3519,1.11637,0.004734
13.4046,1.12373,0.00360968
13.5335,1.0584,0.000650925
13.4398,1.06761,-0.0017358
13.7335,1.15318,-0.00451702
13.8415,1.23875,-0.00785055
14.1336,1.23599,-0.0113024
14.0717,1.20655,-0.0122492
14.2006,1.10717,-0.0122295
14.065,1.1725,-0.0122295
14.1202,1.28568,-0.0122295
14.0767,1.27372,-0.0125254
14.1989,1.27648,-0.0152869
14.4651,1.21851,-0.0178906
14.5379,1.34825,-0.0192121
14.6852,1.29212,-0.0211452
14.8877,1.30868,-0.0233347
15.1765,1.38046,-0.0265498
15.2284,1.32709,-0.0271613
15.3188,1.27096,-0.0271613
15.1949,1.45499,-0.0271613
15.2635,1.35101,-0.0271613
15.2635,1.39242,-0.0271613
15.1807,1.33997,-0.0271613
15.1748,1.35653,-0.0271613
15.3338,1.37401,-0.028187
15.718,1.43842,-0.0314614
15.9859,1.49363,-0.0348541
16.2738,1.45591,-0.0371224
16.5282,1.37677,-0.038878
16.7132,1.41082,-0.0409885
16.8839,1.53688,-0.0421129
16.8706,1.4191,-0.0420931
16.8588,1.55436,-0.0420931
16.7006,1.57921,-0.0420931
16.8362,1.55252,-0.0420931
16.8957,1.46327,-0.0428427
16.9685,1.5102,-0.044184
17.1719,1.61693,-0.0459001
17.4012,1.58381,-0.0478726
17.7,1.50007,-0.0503382
17.7954,1.42186,-0.0512061
17.9528,1.58657,-0.0531391
17.9469,1.64362,-0.0531391
17.9637,1.61693,-0.0531391
18.1126,1.50284,-0.0531391
18.0214,1.54148,-0.0531391
18.0482,1.59393,-0.0536914
18.1227,1.57093,-0.0546777
18.2842,1.59485,-0.056019
18.3185,1.57001,-0.0570447
18.4365,1.49455,-0.057597
18.4985,1.65282,-0.0592736
18.5839,1.6289,-0.0602599
18.5646,1.58749,-0.0612264
18.6542,1.44487,-0.0621929
18.7546,1.53688,-0.0628438
18.8735,1.57277,-0.0638695
18.9655,1.56448,-0.0646585
19.04,1.59853,-0.0652108
19.0768,1.60497,-0.0665324
19.1723,1.58657,-0.0682288
19.2668,1.51388,-0.070221
19.2534,1.67306,-0.0706549
19.2727,1.62798,-0.0706549
19.2953,1.57553,-0.0706549
19.2551,1.46879,-0.0706549
19.3447,1.53872,-0.0706549
19.3254,1.62521,-0.0706549
19.3782,1.65742,-0.0706549
19.3547,1.62613,-0.0706549
19.3196,1.59025,-0.0716609
19.4267,1.59393,-0.0732981
19.5029,1.58841,-0.0754284
