axial, perp, pos
22.824,2.59045,-0.0472808
22.8232,2.65302,-0.0472808
22.7738,2.67694,-0.0472808
22.6775,2.60425,-0.0472808
22.7152,2.66866,-0.0472808
22.6558,2.62081,-0.0472808
22.7085,2.68799,-0.0472808
22.8131,2.60885,-0.0472611
22.7478,2.6613,-0.0472611
22.814,2.72479,-0.0472611
22.7713,2.70547,-0.0472611
22.788,2.71467,-0.0472414
22.8399,2.6567,-0.0461368
22.8642,2.72479,-0.0459987
22.8734,2.7892,-0.0459987
22.9638,2.79104,-0.0459987
22.8709,2.68707,-0.0458804
22.901,2.70179,-0.0455253
22.9881,2.74411,-0.0453478
23.0341,2.68154,-0.0449927
23.1446,2.63922,-0.0443023
23.2308,2.70823,-0.0439078
23.2316,2.70271,-0.0436317
23.3145,2.82417,-0.043395
23.3505,2.72387,-0.0430794
23.2718,2.81773,-0.0426849
23.3932,2.78644,-0.0421523
23.4509,2.75148,-0.0416197
23.3823,2.7478,-0.0410477
23.6292,2.83153,-0.040239
23.7489,2.96771,-0.0387399
24.0468,2.91894,-0.0368857
24.0284,2.89778,-0.0357022
24.1448,2.84901,-0.0343018
24.164,2.85085,-0.0336114
24.2268,2.86189,-0.0334536
24.2486,2.81681,-0.0329605
24.246,2.803,-0.0320926
24.4059,2.81313,-0.0299623
24.4779,2.7938,-0.0292916
24.4712,2.7984,-0.0286802
24.5398,2.86925,-0.0274375
24.6327,2.85637,-0.0261948
24.8227,2.84165,-0.0246563
24.8336,2.79748,-0.0232952
24.888,2.84809,-0.0215989
24.9968,2.91618,-0.019942
24.883,2.74043,-0.0186796
25.0989,2.84717,-0.0186796
24.9742,2.75516,-0.0186796
24.97,2.82601,-0.0186796
24.97,2.71835,-0.0186796
24.965,2.78,-0.0186796
25.0261,2.8076,-0.0186796
25.0671,2.78368,-0.0186599
25.0429,2.7938,-0.0186599
24.9784,2.82417,-0.0185612
24.9993,2.83521,-0.0173383
25.0035,2.78276,-0.0170424
25.0772,2.76712,-0.0163126
25.0897,2.83889,-0.0147149
25.047,2.86373,-0.0133736
25.1324,2.81773,-0.0125451
25.1425,2.84993,-0.0110657
25.1784,2.78184,-0.0100598
25.1659,2.78368,-0.0089946
25.3241,2.73951,-0.00787028
25.3224,2.69627,-0.00731798
25.2471,2.79104,-0.00668678
25.2747,2.85453,-0.00611475
25.3718,2.75792,-0.00477345
25.3676,2.75792,-0.0035505
25.3768,2.85729,-0.00303765
25.3283,2.64474,-0.00305738
25.2228,2.70915,-0.00305738
25.263,2.72571,-0.00305738
25.263,2.69443,-0.00305738
25.2764,2.73583,-0.00305738
25.3919,2.70455,-0.00305738
25.3191,2.6567,-0.00303765
25.2973,2.71651,-0.00303765
25.309,2.69075,-0.00303765
25.2914,2.71099,-0.00224865
25.427,2.65394,-0.00147938
25.2412,2.61529,-0.00114405
25.3182,2.68154,-9.8625e-05
25.2036,2.7524,0.00128212
25.2688,2.69995,0.00309682
25.2178,2.74872,0.00485235
25.3584,2.76252,0.00566107
25.2697,2.82049,0.00637117
25.2697,2.7524,0.00767302
25.2613,2.88214,0.0092313
25.3433,2.7754,0.0100597
25.3492,2.7846,0.0105331
25.3659,2.73215,0.0105331
25.2462,2.66682,0.0105134
25.2454,2.6751,0.0105134
25.2806,2.72203,0.0105134
25.2889,2.68338,0.0105134
25.2831,2.75516,0.0105134
25.3517,2.68891,0.0105134
25.2647,2.71375,0.0105134
25.3015,2.65854,0.0105134
25.201,2.70639,0.0105134
25.3484,2.74595,0.0105134
25.2923,2.65394,0.0105331
25.2898,2.66774,0.0105331
25.386,2.71099,0.0105331
25.2421,2.69075,0.0118744
25.3115,2.72111,0.0126437
25.2655,2.59137,0.0137483
25.3383,2.70731,0.0156222
25.2839,2.67326,0.0168846
25.3768,2.72019,0.0179103
25.3165,2.71375,0.0192121
25.2287,2.69167,0.0207901
25.3274,2.70179,0.0222695
25.278,2.64842,0.0236305
25.335,2.6613,0.0247154
25.2144,2.6705,0.0252085
25.3793,2.57665,0.0259384
25.2931,2.67694,0.026826
25.3057,2.64934,0.0271219
25.345,2.65026,0.0271219
25.2956,2.65394,0.0271219
25.2797,2.61437,0.0271219
25.2889,2.71375,0.0271219
25.2697,2.64658,0.0271219
25.3308,2.64658,0.0271219
25.2479,2.58033,0.0271219
25.335,2.68246,0.0271219
25.3417,2.6291,0.0271219
25.335,2.56561,0.0271219
25.3802,2.6291,0.0277531
25.2605,2.53432,0.0287985
25.2596,2.65854,0.0296269
25.2864,2.74503,0.0306329
25.2178,2.6291,0.0321517
25.2287,2.65118,0.0339862
25.2755,2.5196,0.0359784
25.1349,2.62173,0.0372013
25.0872,2.6245,0.0380692
25.1617,2.49107,0.0387596
25.1107,2.52972,0.0393711
25.1718,2.55364,0.0400812
25.1081,2.57757,0.0411266
25.0906,2.56193,0.0422509
25.0479,2.56929,0.0425074
25.0696,2.48003,0.0429413
25.0336,2.49199,0.0433555
25.0897,2.59689,0.0433555
24.9843,2.51408,0.0433358
25.0621,2.48555,0.0433555
24.9692,2.56929,0.0433555
25.0797,2.52696,0.0433358
25.1533,2.44783,0.0433555
25.0328,2.44875,0.0433555
25.068,2.47911,0.0433555
25.1475,2.62358,0.0433555
25.1266,2.47083,0.0433555
25.0755,2.48647,0.0438289
24.9725,2.5564,0.0455253
24.9617,2.538,0.0459592
24.9031,2.53524,0.0468074
24.8796,2.5472,0.0477542
24.7708,2.538,0.0484446
24.77,2.48923,0.0491941
24.8135,2.46715,0.0495689
24.9131,2.47819,0.0504368
24.6763,2.45703,0.0515809
24.5834,2.45151,0.0526066
24.6813,2.43679,0.0529419
24.7265,2.45427,0.0531589
24.6545,2.44047,0.0537901
24.5767,2.33005,0.0544213
24.4838,2.40458,0.0550919
24.4201,2.44415,0.05523
24.4846,2.46807,0.0554272
24.4821,2.43771,0.0554667
24.4553,2.49751,0.055447
24.4628,2.39354,0.055447
24.4134,2.42758,0.055447
24.4503,2.4193,0.0554667
24.4879,2.38894,0.0554667
24.4461,2.4239,0.0554667
24.4645,2.34293,0.0554667
24.4151,2.43126,0.0554864
24.3691,2.36041,0.0554864
24.3415,2.44507,0.0566108
24.2929,2.45059,0.057025
24.2695,2.43126,0.05738
24.3331,2.43126,0.0577942
24.2586,2.35121,0.0581296
24.1925,2.41378,0.0583663
24.1674,2.4009,0.0586227
24.1916,2.42114,0.0588002
24.0996,2.34293,0.0589186
24.0803,2.35213,0.0589186
24.19,2.40458,0.0588988
24.1875,2.44507,0.0588988
24.1406,2.46347,0.0588988
24.0837,2.50764,0.0588988
24.1657,2.37329,0.0588988
24.1707,2.36317,0.0588988
24.2176,2.47543,0.0588791
24.2469,2.46255,0.0588791
24.2435,2.44047,0.0588791
24.1649,2.46715,0.0588594
24.1799,2.49475,0.0588594
24.1557,2.46807,0.0588594
24.2527,2.45335,0.0588594
24.1682,2.43955,0.0587608
24.2862,2.39538,0.0574984
24.3088,2.41562,0.0572814
24.2795,2.3825,0.0572814
24.3021,2.45059,0.0572814
24.2101,2.41194,0.0572617
24.2318,2.40826,0.0566108
24.3557,2.38894,0.0561571
24.282,2.47175,0.0559795
24.3523,2.48003,0.0553681
24.3749,2.49751,0.0544607
24.4235,2.53984,0.0541846
24.4838,2.48003,0.0540071
24.5515,2.43955,0.0534548
24.5691,2.43771,0.0518176
24.6771,2.51316,0.0506144
24.6528,2.53432,0.0495689
24.7566,2.61713,0.0479317
24.8545,2.49751,0.0477937
24.9089,2.48831,0.047774
24.878,2.38342,0.047774
24.9006,2.41562,0.047774
24.8395,2.48647,0.047774
24.9064,2.39262,0.047774
24.8077,2.41746,0.047774
24.852,2.48187,0.047774
24.9181,2.45703,0.0475964
24.7683,2.515,0.0475175
24.7591,2.5104,0.0475175
24.7976,2.44599,0.0475175
24.837,2.44875,0.0473203
24.7131,2.46715,0.0473203
24.8144,2.44967,0.0473597
24.7901,2.46439,0.0473597
24.9282,2.48647,0.0473597
24.9039,2.4239,0.0473597
24.8286,2.43126,0.0473203
24.7767,2.46071,0.0473794
24.8068,2.50764,0.04734
24.77,2.47451,0.0473203
24.7968,2.45519,0.0473203
24.852,2.44783,0.0473203
24.8386,2.53432,0.0462157
24.8805,2.35121,0.0445193
24.914,2.3871,0.0444601
24.9324,2.55364,0.044184
24.9968,2.3917,0.0439078
24.955,2.52144,0.0438881
