axial, perp, fakepos, pos
25.8372,1.82673,0.05,-0.0545594
25.7719,1.73471,0.05,-0.0545594
25.802,1.82121,0.05,-0.0545594
25.7802,1.81384,0.05,-0.0545594
25.761,1.87365,0.05,-0.0545594
25.7677,1.84145,0.05,-0.0545594
25.7568,1.81661,0.05,-0.0545594
25.8212,1.68594,0.05,-0.0545594
25.8581,1.84329,0.05,-0.0545594
25.8221,1.84421,0.05,-0.0545791
25.7325,1.82397,0.05,-0.0545791
25.6974,1.74575,0.05,-0.0545594
25.735,1.84789,0.05,-0.0545594
26.1217,1.93991,0.05,-0.0525671
26.341,2.01628,0.05,-0.050279
26.6231,2.02272,0.05,-0.0476951
26.7679,2.07609,0.05,-0.0452492
26.957,2.10645,0.05,-0.0427638
26.9947,2.24907,0.05,-0.0402982
27.0022,2.37237,0.05,-0.0374775
27.055,2.26564,0.05,-0.0342821
26.8784,2.33925,0.05,-0.0312641
26.7562,2.41562,0.05,-0.0299426
26.824,2.37329,0.05,-0.0299623
26.8122,2.38066,0.05,-0.0299623
26.8122,2.37698,0.05,-0.0299623
26.8256,2.3963,0.05,-0.0299623
26.8005,2.38158,0.05,-0.0299426
26.6356,2.36409,0.05,-0.0262343
26.5,2.42298,0.05,-0.0235517
26.2674,2.45979,0.05,-0.0198434
26.0874,2.3917,0.05,-0.0179103
25.9049,2.44507,0.05,-0.0155433
25.869,2.39078,0.05,-0.0149713
25.8388,2.36317,0.05,-0.0140442
25.7317,2.45611,0.05,-0.0127621
25.7116,2.43586,0.05,-0.011835
25.6396,2.33005,0.05,-0.00974415
25.5568,2.4239,0.05,-0.008679
25.4337,2.45335,0.05,-0.00605558
25.4438,2.39354,0.05,-0.00396473
25.3919,2.38066,0.05,-0.00246563
25.3551,2.31441,0.05,-0.00246563
25.3793,2.32637,0.05,-0.00246563
25.4028,2.37237,0.05,-0.00246563
25.3601,2.36777,0.05,-0.00246563
25.4973,2.35029,0.05,-0.00246563
25.3634,2.31625,0.05,-0.00246563
25.458,2.36593,0.05,-0.0022881
25.427,2.32637,0.05,-0.00169635
25.3174,2.28128,0.05,0.001578
25.3065,2.32637,0.05,0.00475372
25.376,2.39078,0.05,0.00716017
25.5124,2.26932,0.05,0.0103951
25.5409,2.30796,0.05,0.0118547
25.6204,2.35581,0.05,0.0126437
25.6472,2.41562,0.05,0.0126437
25.6405,2.34109,0.05,0.0126437
25.653,2.28036,0.05,0.0126437
25.607,2.30336,0.05,0.012624
25.581,2.2868,0.05,0.012624
25.5442,2.28404,0.05,0.012624
25.4262,2.29692,0.05,0.012624
25.494,2.26472,0.05,0.0132749
25.7501,2.22515,0.05,0.0165493
25.8865,2.14142,0.05,0.0175355
26.023,2.12301,0.05,0.0203562
26.1636,2.23251,0.05,0.0224273
26.2799,2.27116,0.05,0.0247943
26.4967,2.24907,0.05,0.028404
26.8499,2.24447,0.05,0.0322306
26.9721,2.2638,0.05,0.0348935
27.0365,2.33649,0.05,0.0349132
26.9914,2.45151,0.05,0.0348935
27.0608,2.30796,0.05,0.0348935
26.9512,2.29416,0.05,0.0348935
27.0684,2.4147,0.05,0.0348935
27.0131,2.36501,0.05,0.0348935
27.0751,2.38066,0.05,0.0349132
27.132,2.32729,0.05,0.0362151
27.2056,2.4285,0.05,0.038661
27.3831,2.57757,0.05,0.0407124
27.3379,2.58493,0.05,0.0433161
27.4709,2.63094,0.05,0.0467285
27.3755,2.65946,0.05,0.0478134
27.4073,2.60701,0.05,0.0484446
27.3772,2.57665,0.05,0.0493322
27.188,2.61989,0.05,0.0500226
27.2299,2.73399,0.05,0.0505946
27.1328,2.65118,0.05,0.0511075
27.1119,2.68983,0.05,0.0522121
27.0181,2.70823,0.05,0.0528038
26.9729,2.69811,0.05,0.0528038
27.0558,2.74043,0.05,0.0527841
27.0583,2.70823,0.05,0.0527841
27.0868,2.65946,0.05,0.0527644
27.0089,2.68799,0.05,0.0527644
27.0893,2.70363,0.05,0.0527446
27.0566,2.7892,0.05,0.0527249
27.091,2.7938,0.05,0.0527249
27.1311,2.6659,0.05,0.0492336
27.296,2.62726,0.05,0.0458014
27.3102,2.55732,0.05,0.0441643
27.3102,2.45887,0.05,0.0420734
27.2123,2.45427,0.05,0.0396867
27.1755,2.46071,0.05,0.0382665
27.106,2.4193,0.05,0.0369844
27.091,2.4147,0.05,0.0350908
26.9286,2.31625,0.05,0.0342229
27.0566,2.44967,0.05,0.0341637
26.9989,2.4239,0.05,0.0341637
27.0039,2.28404,0.05,0.0341637
27.0307,2.40182,0.05,0.0341637
26.9997,2.35673,0.05,0.0341637
26.9085,2.33005,0.05,0.0341637
26.9478,2.26472,0.05,0.0341637
27.1554,2.31072,0.05,0.0341637
27.0349,2.27668,0.05,0.0341637
27.0248,2.2592,0.05,0.0341637
26.8934,2.2868,0.05,0.0328027
26.9805,2.28404,0.05,0.0323687
26.7997,2.27208,0.05,0.0315008
26.7327,2.28404,0.05,0.0306132
26.6917,2.24907,0.05,0.0295283
26.6289,2.20215,0.05,0.0294889
26.67,2.32545,0.05,0.0294889
26.7227,2.25736,0.05,0.0295086
26.6758,2.26012,0.05,0.0295086
26.7093,2.28956,0.05,0.0295086
26.675,2.26472,0.05,0.0295086
26.608,2.24907,0.05,0.0294889
26.6256,2.38986,0.05,0.02941
26.5369,2.2684,0.05,0.0271219
26.4431,2.20399,0.05,0.026037
26.3117,2.20859,0.05,0.0244196
26.1083,2.15982,0.05,0.0223682
25.992,2.29508,0.05,0.0200801
25.8949,2.29508,0.05,0.0183245
25.8305,2.18927,0.05,0.016786
25.761,2.273,0.05,0.0159575
25.5986,2.17454,0.05,0.0141034
25.6011,2.22515,0.05,0.0125057
25.5392,2.29048,0.05,0.0125057
25.6112,2.32177,0.05,0.0125057
25.6547,2.27392,0.05,0.0125057
25.5769,2.25368,0.05,0.0125057
25.5936,2.27024,0.05,0.0125057
25.6162,2.2684,0.05,0.0124268
25.5049,2.31349,0.05,0.009468
25.3391,2.29968,0.05,0.0057597
25.314,2.30888,0.05,-0.0004734
25.345,2.38894,0.05,-0.00392527
25.3408,2.48187,0.05,-0.0061542
25.6363,2.33097,0.05,-0.00976387
25.761,2.34017,0.05,-0.0137878
25.6873,2.37329,0.05,-0.0140245
25.7099,2.35949,0.05,-0.0140245
25.8531,2.4331,0.05,-0.0140245
25.8271,2.38066,0.05,-0.0140245
25.7802,2.4101,0.05,-0.0140047
25.7434,2.5104,0.05,-0.0144979
26.0129,2.39814,0.05,-0.0194883
26.2858,2.42298,0.05,-0.0228021
26.3628,2.43586,0.05,-0.0233741
26.3435,2.50948,0.05,-0.0238081
26.4733,2.48463,0.05,-0.02582
26.572,2.34017,0.05,-0.0272205
26.767,2.40458,0.05,-0.0291535
26.7302,2.41838,0.05,-0.0306329
26.7746,2.4101,0.05,-0.0310274
26.6992,2.43218,0.05,-0.0310077
26.6373,2.38342,0.05,-0.0310077
26.8097,2.39722,0.05,-0.0310274
26.7846,2.47359,0.05,-0.0310274
26.7729,2.45703,0.05,-0.0310274
26.8106,2.39906,0.05,-0.0315403
26.9035,2.30244,0.05,-0.0344004
26.9344,2.2684,0.05,-0.0384243
26.9344,2.30152,0.05,-0.0397261
26.9035,2.20951,0.05,-0.0411069
26.9872,2.20859,0.05,-0.0423298
26.8198,2.17454,0.05,-0.043612
26.7746,2.10277,0.05,-0.0447166
26.6114,2.03836,0.05,-0.0456831
26.6139,1.98315,0.05,-0.0469258
26.4548,2.05676,0.05,-0.0485827
26.3502,1.90586,0.05,-0.0497267
26.2791,2.05308,0.05,-0.0503579
26.1401,1.97947,0.05,-0.0509891
25.9267,2.00063,0.05,-0.0522121
25.9753,1.91966,0.05,-0.0531194
25.9359,1.81384,0.05,-0.0532969
25.8957,1.85617,0.05,-0.0538492
25.6622,1.85985,0.05,-0.0549341
25.7166,1.93254,0.05,-0.0549341
25.6329,2.00892,0.05,-0.0549341
25.6304,1.86169,0.05,-0.0549341
25.6313,1.87918,0.05,-0.0549341
25.648,1.89022,0.05,-0.0549341
25.5819,1.86905,0.05,-0.0549341
25.6555,1.83317,0.05,-0.0549341
25.5877,1.88102,0.05,-0.0549341
25.6162,1.86537,0.05,-0.0549341
25.6597,1.8847,0.05,-0.0549341
25.6672,1.87089,0.05,-0.0549341
25.5584,1.92978,0.05,-0.0549538
25.6195,1.88654,0.05,-0.0549538
25.6229,1.87642,0.05,-0.0549538
25.5769,1.78992,0.05,-0.0549933
25.4228,1.72919,0.05,-0.0567094
25.1902,1.78716,0.05,-0.0576956
25.1701,1.81016,0.05,-0.0578534
25.1257,1.789,0.05,-0.0578534
25.1165,1.78716,0.05,-0.0578534
25.2111,1.85893,0.05,-0.0578534
25.1977,1.78532,0.05,-0.0578534
25.2479,1.65466,0.05,-0.0578337
25.3944,1.80096,0.05,-0.0563543
25.6932,1.93806,0.05,-0.0542635
26.2121,1.92242,0.05,-0.0506144
26.5017,2.01168,0.05,-0.047557
26.8365,2.27024,0.05,-0.0427638
26.8909,2.32729,0.05,-0.0379509
26.9068,2.44139,0.05,-0.0331775
26.7478,2.43034,0.05,-0.0304949
26.7662,2.37329,0.05,-0.0304949
26.8005,2.31809,0.05,-0.0304949
26.8449,2.3825,0.05,-0.0305146
26.7068,2.44323,0.05,-0.0304949
26.7018,2.33465,0.05,-0.0304949
26.757,2.35397,0.05,-0.0304949
26.793,2.45979,0.05,-0.0303568
26.3795,2.44415,0.05,-0.024893
26.1887,2.50212,0.05,-0.020159
26.0431,2.4285,0.05,-0.0174764
25.7752,2.46991,0.05,-0.0129593
25.5266,2.37053,0.05,-0.00885653
25.35,2.41746,0.05,-0.00643035
25.4329,2.44231,0.05,-0.00643035
25.5141,2.37698,0.05,-0.00643035
25.4647,2.40458,0.05,-0.00643035
25.4036,2.35949,0.05,-0.00643035
25.4321,2.43126,0.05,-0.00643035
25.4689,2.43679,0.05,-0.00643035
25.2529,2.31625,0.05,-0.00175553
25.3132,2.31717,0.05,0.00272205
25.2981,2.22331,0.05,0.0048129
25.4061,2.22883,0.05,0.00787027
25.4898,2.18927,0.05,0.0116575
25.6647,2.19479,0.05,0.0162929
25.6991,2.17822,0.05,0.0163126
25.7049,2.21963,0.05,0.0162929
25.7509,2.15982,0.05,0.0162929
25.6672,2.2684,0.05,0.0163126
25.7376,2.22699,0.05,0.0163126
25.6455,2.2592,0.05,0.0163126
25.6162,2.34569,0.05,0.0163126
25.6848,2.32729,0.05,0.0163718
25.8179,2.21963,0.05,0.0184626
26.1887,2.30888,0.05,0.0231571
26.4247,2.24907,0.05,0.0275164
26.6306,2.46715,0.05,0.030771
26.8775,2.35121,0.05,0.0337692
26.8323,2.38986,0.05,0.0338876
26.8775,2.46347,0.05,0.0338678
26.8633,2.47451,0.05,0.0338678
26.978,2.39814,0.05,0.0338876
26.9696,2.43586,0.05,0.0338876
26.9972,2.3917,0.05,0.0353275
27.224,2.53248,0.05,0.0392133
27.2048,2.56653,0.05,0.0419354
27.2642,2.60885,0.05,0.0442826
27.2257,2.58953,0.05,0.0472808
27.1604,2.71927,0.05,0.0502001
26.9696,2.73031,0.05,0.0524685
27.0047,2.77632,0.05,0.0528827
26.9721,2.75148,0.05,0.0529419
26.9646,2.84533,0.05,0.0529222
26.9763,2.69811,0.05,0.0529222
26.921,2.76988,0.05,0.0529025
27.0483,2.76528,0.05,0.0529222
27.0232,2.74319,0.05,0.0529222
27.0131,2.71927,0.05,0.0529025
27.0123,2.72019,0.05,0.052863
26.9838,2.6291,0.05,0.0481882
27.1721,2.54628,0.05,0.0441248
27.1412,2.48463,0.05,0.0411266
26.9771,2.47819,0.05,0.0368858
26.6934,2.34569,0.05,0.0331972
26.7411,2.37053,0.05,0.0328224
26.7453,2.28772,0.05,0.0328421
26.6666,2.25092,0.05,0.0328421
26.7729,2.34109,0.05,0.0328421
26.767,2.43863,0.05,0.0328421
26.793,2.42298,0.05,0.0328224
26.7771,2.33281,0.05,0.0328224
26.7168,2.4239,0.05,0.0318756
26.29,2.2592,0.05,0.0260962
26.0623,2.26932,0.05,0.0224865
25.9384,2.2868,0.05,0.0193305
25.7275,2.1451,0.05,0.0163323
25.53,2.19387,0.05,0.013413
25.4664,2.19111,0.05,0.0121506
25.4421,2.1773,0.05,0.0121506
25.525,2.19755,0.05,0.0121506
25.4639,2.11197,0.05,0.0121506
25.3936,2.12301,0.05,0.0121506
25.4237,2.20307,0.05,0.0121506
25.4312,2.07425,0.05,0.0115589
25.2287,2.1681,0.05,0.00609503
25.2295,2.33465,0.05,0.000927075
25.2169,2.35857,0.05,-0.0028404
25.3216,2.34385,0.05,-0.00573997
25.5643,2.46255,0.05,-0.00934965
25.6773,2.43126,0.05,-0.012979
