freq (Hz), C_s (F), R, eps (/e_0)
1.00143,6.75179e-10,-2.41821e+08,2.02553
3.00429,8.20907e-10,-1.33206e+08,2.46271
5.00715,8.41799e-10,-1.24121e+08,2.52539
7.15308,8.43233e-10,-1.20571e+08,2.52969
10.0143,8.4656e-10,-1.21245e+08,2.53967
30.0429,8.49654e-10,-1.28873e+08,2.54895
50.0715,8.5117e-10,-1.42356e+08,2.5535
71.5308,8.47987e-10,-1.71091e+08,2.54396
100.143,8.50257e-10,-1.27836e+08,2.55077
300.429,8.48614e-10,1.65723e+08,2.54583
500.715,8.47526e-10,3.98224e+08,2.54257
715.308,8.4702e-10,4.13189e+07,2.54105
1001.43,8.44576e-10,1.55416e+07,2.53372
