freq (Hz), C_s (F), R, eps (/e_0)
1.00143,3.82837e-10,-4.31435e+08,2.02678
3.00429,4.78019e-10,-2.32559e+08,2.53068
5.00715,4.88377e-10,-2.16408e+08,2.58552
7.15308,4.88039e-10,-1.99451e+08,2.58373
10.0143,4.91155e-10,-2.136e+08,2.60022
30.0429,4.93933e-10,-2.57496e+08,2.61493
50.0715,4.91412e-10,-3.73607e+08,2.60158
71.5308,4.8912e-10,-2.30387e+08,2.58945
100.143,4.93829e-10,-2.2662e+08,2.61438
300.429,4.9029e-10,7.07764e+08,2.59565
500.715,4.92109e-10,9.18653e+07,2.60527
715.308,4.92129e-10,6.01123e+07,2.60538
1001.43,4.89594e-10,3.05931e+07,2.59196
