Frequency (Hz)	Level (dB)
390.289307	-59.225803
391.635132	-53.977146
392.980957	-53.363873
394.326782	-55.213036
395.672607	-54.658966
397.018433	-55.794853
398.364258	-52.268265
399.710083	-53.155815
401.055908	-57.537861
402.401733	-56.027508
403.747559	-55.390221
405.093384	-54.167976
406.439209	-55.096855
407.785034	-57.074398
409.130859	-50.326977
410.476685	-48.981312
411.822510	-54.445171
413.168335	-51.624702
414.514160	-50.233196
415.859985	-49.005192
417.205811	-48.180485
418.551636	-50.404758
419.897461	-52.389511
421.243286	-50.152557
422.589111	-48.699276
423.934937	-49.010220
425.280762	-51.331032
426.626587	-48.503937
427.972412	-46.988132
429.318237	-46.477940
430.664062	-50.269070
432.009888	-49.415085
433.355713	-48.297657
434.701538	-44.383049
436.047363	-47.594959
437.393188	-49.513229
438.739014	-47.897015
440.084839	-48.252098
441.430664	-47.364956
442.776489	-48.133793
444.122314	-50.765236
445.468140	-52.018795
446.813965	-49.053722
448.159790	-50.383720
449.505615	-52.542545
450.851440	-55.835979
452.197266	-50.420101
453.543091	-48.987118
454.888916	-48.771309
456.234741	-50.143078
457.580566	-50.925819
458.926392	-51.471432
460.272217	-49.013248
461.618042	-51.671783
462.963867	-53.406582
464.309692	-53.274357
465.655518	-51.301071
467.001343	-51.942245
468.347168	-49.601265
469.692993	-49.908554
471.038818	-52.675816
472.384644	-52.386009
473.730469	-53.775646
475.076294	-53.429165
476.422119	-51.698082
477.767944	-54.329296
479.113770	-55.245735
480.459595	-52.894283
481.805420	-54.906754
483.151245	-56.520000
484.497070	-56.856785
485.842896	-55.763348
487.188721	-57.258324
488.534546	-57.676960
489.880371	-58.744923
491.226196	-58.949886
492.572021	-62.569206
493.917847	-59.931110
495.263672	-55.939632
496.609497	-54.680626
497.955322	-55.537010
499.301147	-60.929325
500.646973	-63.171543
501.992798	-63.362282
503.338623	-58.314285
504.684448	-54.943237
506.030273	-56.941948
507.376099	-59.645847
508.721924	-61.338207
510.067749	-62.427361
511.413574	-60.984669
512.759399	-58.182438
514.105225	-59.022129
515.451050	-59.372395
516.796875	-57.708656
518.142700	-57.452702
519.488525	-62.493809
520.834351	-65.723373
522.180176	-59.090805
523.526001	-57.379539
524.871826	-59.264053
526.217651	-59.170605
527.563477	-58.847858
528.909302	-57.832035
530.255127	-56.546242
531.600952	-58.249454
532.946777	-60.722736
534.292603	-62.459118
535.638428	-64.159615
536.984253	-65.806831
538.330078	-66.559212
539.675903	-67.387497
541.021729	-62.634041
542.367554	-59.588364
543.713379	-56.747673
545.059204	-55.888470
546.405029	-60.112206
547.750854	-60.163429
549.096680	-59.753414
550.442505	-60.152622
551.788330	-57.754478
553.134155	-56.791985
554.479980	-59.137341
555.825806	-62.399288
557.171631	-62.181160
558.517456	-59.138020
559.863281	-60.120800
561.209106	-61.552773
562.554932	-64.516998
563.900757	-62.013828
565.246582	-62.783936
566.592407	-61.570671
567.938232	-63.588993
569.284058	-62.297398
570.629883	-61.697151
571.975708	-64.137131
573.321533	-63.188061
574.667358	-61.644146
576.013184	-63.117748
577.359009	-60.605267
578.704834	-61.637863
580.050659	-63.723930
581.396484	-61.621586
582.742310	-60.712135
584.088135	-61.776104
585.433960	-59.927979
586.779785	-61.554714
588.125610	-61.277390
589.471436	-63.044567
590.817261	-64.911606
592.163086	-67.313683
593.508911	-62.633049
594.854736	-60.597775
596.200562	-61.342964
597.546387	-65.427521
598.892212	-66.043434
600.238037	-65.390800
601.583862	-62.912308
602.929688	-63.330883
604.275513	-67.531418
605.621338	-66.099274
606.967163	-63.622910
608.312988	-60.927284
609.658813	-63.170033
611.004639	-62.355381
612.350464	-60.330029
613.696289	-59.108997
615.042114	-64.002548
616.387939	-67.386414
617.733765	-66.300316
619.079590	-62.535416
620.425415	-61.319622
621.771240	-63.126324
623.117065	-65.683098
624.462891	-65.022560
625.808716	-63.287750
627.154541	-60.621315
628.500366	-60.471626
629.846191	-61.005024
631.192017	-61.779575
632.537842	-64.877052
633.883667	-66.927109
635.229492	-63.932751
636.575317	-65.093643
637.921143	-67.529823
639.266968	-64.766968
640.612793	-65.485168
641.958618	-63.334335
643.304443	-61.347427
644.650269	-64.199783
645.996094	-66.113106
647.341919	-63.691269
648.687744	-62.681709
650.033569	-63.513256
651.379395	-65.290680
652.725220	-62.704632
654.071045	-62.881924
655.416870	-64.626320
656.762695	-65.294312
658.108521	-61.209713
659.454346	-61.862926
660.800171	-61.619701
662.145996	-60.334358
663.491821	-63.747173
664.837646	-68.166916
666.183472	-64.873177
667.529297	-67.599907
668.875122	-68.541451
670.220947	-66.535622
671.566772	-66.026527
672.912598	-68.283989
674.258423	-70.725281
675.604248	-64.386604
676.950073	-63.116890
678.295898	-66.839455
679.641724	-67.907372
680.987549	-64.772034
682.333374	-62.191372
683.679199	-65.257957
685.025024	-64.199379
686.370850	-67.553139
687.716675	-66.337494
689.062500	-66.856964
690.408325	-66.470932
691.754150	-66.891922
693.099976	-66.968178
694.445801	-64.559364
695.791626	-63.660156
697.137451	-65.564018
698.483276	-69.661903
699.829102	-68.973495
701.174927	-64.614090
702.520752	-62.290997
703.866577	-60.642334
705.212402	-61.662212
706.558228	-68.950874
707.904053	-66.112381
709.249878	-63.646011
710.595703	-65.066681
711.941528	-65.947578
713.287354	-66.154732
714.633179	-67.853622
715.979004	-67.100716
717.324829	-67.025604
718.670654	-67.409027
720.016479	-65.208443
721.362305	-68.455597
722.708130	-66.847878
724.053955	-66.624603
725.399780	-65.786003
726.745605	-67.360405
728.091431	-67.220413
729.437256	-69.764320
730.783081	-70.100594
732.128906	-68.782349
733.474731	-67.224586
734.820557	-68.062477
736.166382	-66.285149
737.512207	-64.543587
738.858032	-63.386803
740.203857	-64.907974
741.549683	-65.303436
742.895508	-66.927673
744.241333	-66.378250
745.587158	-65.457123
746.932983	-67.355736
748.278809	-66.099983
749.624634	-66.038460
750.970459	-65.108261
752.316284	-62.207970
753.662109	-66.282036
755.007935	-66.870605
756.353760	-66.547119
757.699585	-64.132668
759.045410	-62.087757
760.391235	-64.290733
761.737061	-69.257133
763.082886	-72.145256
764.428711	-70.725433
765.774536	-71.244415
767.120361	-66.273430
768.466187	-65.207291
769.812012	-67.714821
771.157837	-65.700127
772.503662	-65.158073
773.849487	-65.179436
775.195312	-62.960297
776.541138	-65.023483
777.886963	-64.030159
779.232788	-66.988152
780.578613	-67.069389
781.924438	-64.032700
783.270264	-66.589165
784.616089	-64.979309
785.961914	-66.663406
787.307739	-67.519836
788.653564	-65.484291
789.999390	-63.740849
791.345215	-62.058796
792.691040	-66.639481
794.036865	-68.059181
795.382690	-64.849068
796.728516	-66.099091
798.074341	-69.165298
799.420166	-65.656494
800.765991	-65.847801
802.111816	-67.180351
803.457642	-66.348953
804.803467	-67.328934
806.149292	-66.679764
807.495117	-66.519402
808.840942	-65.162270
810.186768	-64.757133
811.532593	-63.472946
812.878418	-64.169746
814.224243	-63.704666
815.570068	-66.376381
816.915894	-68.450172
818.261719	-64.649384
819.607544	-65.154510
820.953369	-64.383743
822.299194	-63.596035
823.645020	-65.384010
824.990845	-65.363396
826.336670	-65.341896
827.682495	-62.598869
829.028320	-64.815613
830.374146	-65.949425
831.719971	-65.894066
833.065796	-70.487038
834.411621	-66.443253
835.757446	-66.494133
837.103271	-65.922493
838.449097	-64.213135
839.794922	-64.679741
841.140747	-62.849110
842.486572	-66.430458
843.832397	-66.328255
845.178223	-69.309113
846.524048	-69.596252
847.869873	-72.019112
849.215698	-71.674133
850.561523	-67.388573
851.907349	-65.148392
853.253174	-64.623634
854.598999	-66.120148
855.944824	-67.283272
857.290649	-68.841148
858.636475	-69.238434
859.982300	-68.066742
861.328125	-68.556519
862.673950	-67.420700
864.019775	-67.381195
865.365601	-67.210182
866.711426	-65.396904
868.057251	-62.689968
